CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
56.56;totalGazeArea: 26.73;averageGazeArea1: 2.19;averageGazeArea3: 5.21;averageGazeArea5: 7.47;averageGazeArea10: 11.15;
1;(-6.1, 0.0, 16.5);28.66;0;
2;(-26.1, 0.0, 34.0);52.9;0;
