CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
81.74;totalGazeArea: 20.32;averageGazeArea1: 1.93;averageGazeArea3: 3.94;averageGazeArea5: 5.56;averageGazeArea10: 8.42;
1;(2.0, 0.0, 4.6);19.62;1;
2;(3.5, 0.0, 5.8);22.9;2;
3;(2.4, 0.0, 5.8);23.36;1;
4;(2.4, 0.0, 5.8);24.72;1;
5;(2.4, 0.0, 5.8);27.12;1;
6;(3.5, 0.0, 5.9);30.4;0;
7;(2.7, 0.0, 6.0);30.66;1;
8;(2.7, 0.0, 6.0);31.52;1;
9;(12.1, 0.0, 23.6);60.58;2;
10;(7.3, 0.0, 24.0);65.52;0;
