Timestamp;Total_Angles_x;Total_Angles_y;Head_Rotation_x;Head_Rotation_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
2.46305;-1.841635;-13.43056;-1.258423;-2.819738;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
2.50353;-1.840305;-13.43045;-1.257629;-2.820711;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
2.54107;-1.839275;-13.43133;-1.258575;-2.823925;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
2.58091;-1.839774;-13.43473;-1.259735;-2.822939;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
2.60865;-1.840662;-13.43372;-1.25589;-2.823813;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
2.63896;-1.836395;-13.4346;-1.258087;-2.824688;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
2.67619;-1.838513;-13.4355;-1.255707;-2.825144;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.46);
2.71428;-1.835905;-13.43604;-1.254547;-2.824412;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.46);
2.75258;-1.834583;-13.43522;-1.259521;-2.825344;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.46);
2.78103;-1.839757;-13.4361;-1.258423;-2.827508;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.46);
2.82340;-1.838549;-13.43838;-1.259338;-2.827106;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.46);
2.86314;-1.839375;-13.438;-1.261078;-2.826046;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.46);
2.90962;-1.841214;-13.43692;-1.257446;-2.82583;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.46);
2.95194;-1.837109;-13.4367;-1.260162;-2.825835;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.46);
2.98024;-1.84004;-13.43668;-1.25592;-2.826882;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.46);
3.02206;-1.835514;-13.43781;-1.259033;-2.825689;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.46);
3.06665;-1.838683;-13.43675;-1.258331;-2.821304;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.10314;-1.837896;-13.43228;-1.258423;-2.819105;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.13643;-1.837937;-13.43004;-1.259125;-2.818021;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.16713;-1.838924;-13.42894;-1.256226;-2.817237;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.19473;-1.836065;-13.42812;-1.258484;-2.816639;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.22506;-1.838353;-13.42752;-1.256927;-2.816423;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.25198;-1.836607;-13.42733;-1.256439;-2.815871;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.28034;-1.836118;-13.42673;-1.256073;-2.81641;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.31964;-1.835799;-13.42727;-1.256348;-2.816804;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.35228;-1.836215;-13.42765;-1.25708;-2.817545;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.38904;-1.837196;-13.42841;-1.256775;-2.817339;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.42522;-1.837078;-13.42818;-1.256714;-2.81758;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.45376;-1.836785;-13.4284;-1.259338;-2.818004;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.48214;-1.83937;-13.4288;-1.25647;-2.819479;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.51880;-1.836201;-13.43034;-1.256927;-2.819767;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.55381;-1.836646;-13.4306;-1.255676;-2.821006;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.59657;-1.835197;-13.43184;-1.255859;-2.822402;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.62375;-1.835026;-13.4333;-1.257874;-2.822889;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.65181;-1.837218;-13.43378;-1.257263;-2.823067;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.68076;-1.836678;-13.43397;-1.253815;-2.82349;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.46);
3.71260;-1.833037;-13.43445;-1.256073;-2.822126;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.76075;-1.83522;-13.43305;-1.255768;-2.821835;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
3.79497;-1.834956;-13.43283;-1.254333;-2.820336;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.46);
3.82266;-1.833715;-13.43124;-1.25589;-2.82028;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.85142;-1.835788;-13.43118;-1.254547;-2.819878;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.46);
3.88087;-1.834703;-13.43072;-1.254486;-2.82027;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.46);
3.90718;-1.834732;-13.43112;-1.257294;-2.820103;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
3.93680;-1.838016;-13.43097;-1.254883;-2.818993;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.46);
3.97550;-1.835717;-13.42978;-1.2565;-2.819682;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
4.00976;-1.837461;-13.43052;-1.256927;-2.818882;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
4.05295;-1.838039;-13.42971;-1.255463;-2.818312;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
4.08038;-1.83681;-13.42919;-1.255371;-2.81622;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
4.10847;-1.837033;-13.42703;-1.255402;-2.815315;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
4.13680;-1.837287;-13.42605;-1.255096;-2.815773;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
4.17513;-1.837065;-13.42656;-1.256165;-2.814954;(-0.30, 1.65, 0.52);(2.81, 358.74, 0.45);
4.20864;-1.838308;-13.42569;-1.255768;-2.815078;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
4.23672;-1.838075;-13.42575;-1.255157;-2.816869;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
4.26674;-1.837718;-13.42754;-1.254395;-2.818031;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.45);
4.29428;-1.836996;-13.42863;-1.253967;-2.820758;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.45);
4.32469;-1.83642;-13.43147;-1.254364;-2.82091;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.45);
4.36689;-1.83678;-13.43165;-1.254059;-2.820268;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.45);
4.40442;-1.836581;-13.43097;-1.254547;-2.820578;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.45);
4.43640;-1.837337;-13.43129;-1.254822;-2.820241;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.44);
4.46574;-1.837788;-13.43095;-1.254913;-2.819964;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.44);
4.49486;-1.83805;-13.43066;-1.255035;-2.81964;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.44);
4.52332;-1.83826;-13.4303;-1.253906;-2.820034;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.44);
4.55087;-1.837271;-13.43071;-1.25238;-2.819935;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.44);
4.57971;-1.835768;-13.43061;-1.254944;-2.819793;(-0.30, 1.65, 0.52);(2.82, 358.75, 0.44);
4.61620;-1.838624;-13.43044;-1.25589;-2.819763;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.44);
4.65235;-1.839483;-13.43041;-1.258179;-2.819448;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.44);
4.68131;-1.841775;-13.43017;-1.258301;-2.817618;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.44);
4.70947;-1.842026;-13.42826;-1.258118;-2.817587;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.44);
4.73782;-1.841837;-13.42822;-1.258667;-2.817528;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.44);
4.76736;-1.842321;-13.42816;-1.257843;-2.817682;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.44);
4.79462;-1.841385;-13.42834;-1.257538;-2.817443;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.44);
4.83149;-1.840926;-13.42816;-1.25946;-2.816093;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.44);
4.86507;-1.842932;-13.42675;-1.258362;-2.815984;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.44);
4.89431;-1.841563;-13.42661;-1.258667;-2.816648;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.44);
4.92310;-1.841627;-13.42731;-1.25882;-2.817218;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.44);
4.95145;-1.841671;-13.42784;-1.259583;-2.818639;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.44);
4.98277;-1.842115;-13.42933;-1.2612;-2.818755;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
5.02437;-1.843513;-13.42947;-1.2612;-2.818501;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
5.07469;-1.843318;-13.42922;-1.261719;-2.818536;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
5.10826;-1.84375;-13.42926;-1.260193;-2.81889;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
5.13682;-1.842217;-13.42963;-1.260559;-2.81884;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
5.16695;-1.8428;-13.42953;-1.25946;-2.819927;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
5.20819;-1.841748;-13.43061;-1.258606;-2.820742;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
5.23641;-1.84083;-13.43139;-1.257233;-2.822737;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
5.27343;-1.839307;-13.43344;-1.256439;-2.823594;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
5.30871;-1.838298;-13.4343;-1.256592;-2.824638;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
5.35093;-1.83822;-13.43535;-1.257782;-2.826017;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.45);
5.38347;-1.839205;-13.43679;-1.25882;-2.825756;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.45);
5.42328;-1.839804;-13.43655;-1.260529;-2.82553;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.45);
5.45152;-1.841513;-13.43642;-1.259521;-2.823589;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
5.49223;-1.840456;-13.43438;-1.259552;-2.824037;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.45);
5.52252;-1.840356;-13.43488;-1.259094;-2.823432;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.56569;-1.839474;-13.43424;-1.260071;-2.823645;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.59442;-1.840185;-13.43447;-1.260223;-2.82419;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.62315;-1.840052;-13.43507;-1.262146;-2.823705;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.65152;-1.841879;-13.43461;-1.261475;-2.822732;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.68071;-1.841043;-13.43362;-1.262024;-2.822733;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.71923;-1.841522;-13.43363;-1.260864;-2.822572;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.75159;-1.840292;-13.43347;-1.260529;-2.822383;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.79277;-1.839992;-13.4333;-1.26062;-2.821668;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.82230;-1.840266;-13.43253;-1.260376;-2.822248;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.85171;-1.84005;-13.43318;-1.262848;-2.820915;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.88042;-1.842752;-13.43179;-1.261719;-2.820592;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.90739;-1.841564;-13.43139;-1.260406;-2.822227;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.94556;-1.840091;-13.43307;-1.260193;-2.822984;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
5.98022;-1.839764;-13.43388;-1.260376;-2.822724;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
6.00829;-1.83984;-13.43352;-1.258972;-2.824943;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.46);
6.06464;-1.838194;-13.43584;-1.26001;-2.825173;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.46);
6.09545;-1.839069;-13.43604;-1.259644;-2.826133;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.47);
6.12316;-1.838233;-13.43704;-1.260284;-2.826617;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.47);
6.16094;-1.838396;-13.43756;-1.259491;-2.827126;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.47);
6.19446;-1.837129;-13.43805;-1.259338;-2.829018;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.47);
6.22176;-1.836681;-13.43994;-1.257538;-2.831087;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.25135;-1.834375;-13.44206;-1.2565;-2.832851;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.28122;-1.832804;-13.44388;-1.258026;-2.833666;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.30792;-1.833994;-13.44477;-1.25885;-2.833201;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.33653;-1.834552;-13.44434;-1.258453;-2.832593;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.37713;-1.833978;-13.44376;-1.257782;-2.831525;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.40830;-1.833136;-13.44273;-1.258026;-2.829757;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.49);
6.43587;-1.833398;-13.44096;-1.258179;-2.828196;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.46428;-1.833776;-13.43933;-1.257568;-2.828184;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.49486;-1.833268;-13.43931;-1.257721;-2.828076;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
