CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
41.72;totalGazeArea: 19.49;averageGazeArea1: 2.07;averageGazeArea3: 4.45;averageGazeArea5: 6.22;averageGazeArea10: 9.34;
1;(10.3, 0.0, 11.7);11.74;0;
2;(14.5, 0.0, 13.7);16.14;0;
3;(16.2, 0.0, 21.4);30.38;0;
