Time;CollisionNumber;CollisionPosition;CollisionTime;CollisionType;
27.12;1;(-3.1, 0.0, 23.5);11.24;0;
27.12;2;(-3.1, 0.0, 23.5);11.24;0;
27.12;3;(-3.1, 0.0, 23.5);11.24;0;
27.12;4;(-3.1, 0.0, 23.5);11.24;0;
