CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
49.76;totalGazeArea: 17.67;averageGazeArea1: 2.59;averageGazeArea3: 5.08;averageGazeArea5: 6.87;averageGazeArea10: 9.67;
1;(5.8, 0.0, 21.3);22.66;0;
2;(3.4, 0.0, 28.0);36.56;0;
