CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
29.08;totalGazeArea: 42.55;averageGazeArea1: 4.16;averageGazeArea3: 13.06;averageGazeArea5: 19.14;averageGazeArea10: 28.84;
1;(-6.4, 0.0, 16.3);11.54;0;
2;(-21.1, 0.0, 30.6);20.98;0;
3;(-24.9, 0.0, 31.5);23.06;0;
4;(-26.2, 0.0, 33.5);25.3;0;
