Timestamp;Main Camera (1)_position;Main Camera (1)_orientation;messages;
0.00000;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
0.02000;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
0.35333;Origin: (-0.049, 1.497, 0.490), Dir: (0.010, 0.098, 0.995);Origin: (-0.112, 1.496, 0.489), Dir: (-0.222, 0.136, 0.966);(-0.081, 1.497, 0.489);(0.111, 0.014, -0.007, -0.994);
0.55054;Origin: (-0.061, 1.451, 0.553), Dir: (-0.162, -0.279, 0.947);Origin: (-0.123, 1.456, 0.541), Dir: (-0.384, -0.214, 0.898);(-0.092, 1.453, 0.547);(0.081, -0.095, -0.031, 0.992);
0.67403;Origin: (-0.044, 1.451, 0.549), Dir: (-0.062, -0.272, 0.960);Origin: (-0.107, 1.457, 0.544), Dir: (-0.288, -0.204, 0.936);(-0.075, 1.454, 0.547);(0.076, -0.042, -0.041, 0.995);
0.75067;Origin: (-0.044, 1.452, 0.549), Dir: (-0.062, -0.269, 0.961);Origin: (-0.107, 1.457, 0.544), Dir: (-0.287, -0.202, 0.936);(-0.076, 1.455, 0.546);(0.075, -0.042, -0.040, 0.996);
0.84189;Origin: (-0.044, 1.452, 0.549), Dir: (-0.062, -0.270, 0.961);Origin: (-0.106, 1.457, 0.544), Dir: (-0.287, -0.203, 0.936);(-0.075, 1.454, 0.547);(0.075, -0.042, -0.041, 0.995);
0.86242;Origin: (-0.044, 1.452, 0.549), Dir: (-0.062, -0.271, 0.961);Origin: (-0.106, 1.457, 0.544), Dir: (-0.287, -0.203, 0.936);(-0.075, 1.454, 0.547);(0.075, -0.042, -0.041, 0.995);
0.89199;Origin: (-0.044, 1.452, 0.549), Dir: (-0.062, -0.270, 0.961);Origin: (-0.106, 1.457, 0.544), Dir: (-0.287, -0.203, 0.936);(-0.075, 1.454, 0.547);(0.075, -0.042, -0.041, 0.995);
0.92083;Origin: (-0.044, 1.452, 0.549), Dir: (-0.061, -0.270, 0.961);Origin: (-0.106, 1.457, 0.544), Dir: (-0.287, -0.203, 0.936);(-0.075, 1.454, 0.547);(0.075, -0.042, -0.041, 0.995);
0.98074;Origin: (-0.044, 1.452, 0.549), Dir: (-0.062, -0.270, 0.961);Origin: (-0.106, 1.457, 0.544), Dir: (-0.287, -0.202, 0.936);(-0.075, 1.454, 0.547);(0.075, -0.042, -0.041, 0.995);
1.00358;Origin: (-0.044, 1.452, 0.549), Dir: (-0.062, -0.270, 0.961);Origin: (-0.106, 1.457, 0.544), Dir: (-0.287, -0.202, 0.936);(-0.075, 1.454, 0.547);(0.075, -0.042, -0.041, 0.995);
1.05130;Origin: (-0.044, 1.452, 0.549), Dir: (-0.063, -0.268, 0.961);Origin: (-0.106, 1.458, 0.544), Dir: (-0.289, -0.200, 0.936);(-0.075, 1.455, 0.546);(0.074, -0.043, -0.042, 0.995);
1.08082;Origin: (-0.044, 1.452, 0.549), Dir: (-0.064, -0.266, 0.962);Origin: (-0.106, 1.458, 0.544), Dir: (-0.289, -0.198, 0.936);(-0.075, 1.455, 0.546);(0.073, -0.043, -0.042, 0.995);
1.13693;Origin: (-0.044, 1.452, 0.548), Dir: (-0.064, -0.265, 0.962);Origin: (-0.106, 1.458, 0.543), Dir: (-0.289, -0.198, 0.937);(-0.075, 1.455, 0.546);(0.073, -0.043, -0.042, 0.996);
1.15888;Origin: (-0.044, 1.452, 0.548), Dir: (-0.064, -0.265, 0.962);Origin: (-0.106, 1.458, 0.543), Dir: (-0.289, -0.198, 0.937);(-0.075, 1.455, 0.546);(0.073, -0.043, -0.042, 0.996);
1.19236;Origin: (-0.044, 1.452, 0.549), Dir: (-0.062, -0.269, 0.961);Origin: (-0.106, 1.457, 0.544), Dir: (-0.287, -0.201, 0.937);(-0.075, 1.455, 0.546);(0.074, -0.042, -0.041, 0.995);
1.21964;Origin: (-0.044, 1.452, 0.549), Dir: (-0.064, -0.270, 0.961);Origin: (-0.106, 1.457, 0.544), Dir: (-0.289, -0.202, 0.936);(-0.075, 1.454, 0.547);(0.075, -0.043, -0.042, 0.995);
1.24907;Origin: (-0.044, 1.452, 0.549), Dir: (-0.067, -0.269, 0.961);Origin: (-0.106, 1.457, 0.544), Dir: (-0.292, -0.201, 0.935);(-0.075, 1.454, 0.547);(0.075, -0.044, -0.043, 0.995);
1.30773;Origin: (-0.044, 1.452, 0.549), Dir: (-0.069, -0.268, 0.961);Origin: (-0.107, 1.458, 0.544), Dir: (-0.294, -0.199, 0.935);(-0.075, 1.455, 0.546);(0.074, -0.045, -0.044, 0.995);
1.33007;Origin: (-0.044, 1.452, 0.549), Dir: (-0.071, -0.267, 0.961);Origin: (-0.107, 1.458, 0.544), Dir: (-0.296, -0.198, 0.934);(-0.076, 1.455, 0.546);(0.074, -0.046, -0.044, 0.995);
1.36168;Origin: (-0.045, 1.452, 0.549), Dir: (-0.073, -0.264, 0.962);Origin: (-0.107, 1.458, 0.543), Dir: (-0.297, -0.196, 0.934);(-0.076, 1.455, 0.546);(0.072, -0.047, -0.043, 0.995);
1.39165;Origin: (-0.045, 1.453, 0.548), Dir: (-0.073, -0.262, 0.962);Origin: (-0.107, 1.458, 0.543), Dir: (-0.298, -0.194, 0.935);(-0.076, 1.456, 0.546);(0.071, -0.048, -0.043, 0.995);
1.42158;Origin: (-0.045, 1.453, 0.548), Dir: (-0.073, -0.260, 0.963);Origin: (-0.107, 1.459, 0.542), Dir: (-0.298, -0.192, 0.935);(-0.076, 1.456, 0.545);(0.070, -0.048, -0.043, 0.995);
1.47769;Origin: (-0.045, 1.453, 0.548), Dir: (-0.073, -0.260, 0.963);Origin: (-0.107, 1.459, 0.542), Dir: (-0.298, -0.191, 0.935);(-0.076, 1.456, 0.545);(0.070, -0.048, -0.043, 0.995);
1.49893;Origin: (-0.045, 1.453, 0.548), Dir: (-0.074, -0.260, 0.963);Origin: (-0.107, 1.459, 0.542), Dir: (-0.298, -0.191, 0.935);(-0.076, 1.456, 0.545);(0.070, -0.048, -0.044, 0.995);
1.53550;Origin: (-0.045, 1.453, 0.548), Dir: (-0.075, -0.260, 0.963);Origin: (-0.107, 1.459, 0.542), Dir: (-0.300, -0.191, 0.935);(-0.076, 1.456, 0.545);(0.070, -0.049, -0.044, 0.995);
1.56209;Origin: (-0.045, 1.453, 0.548), Dir: (-0.076, -0.259, 0.963);Origin: (-0.107, 1.459, 0.542), Dir: (-0.301, -0.190, 0.935);(-0.076, 1.456, 0.545);(0.070, -0.049, -0.044, 0.995);
1.59234;Origin: (-0.045, 1.453, 0.548), Dir: (-0.077, -0.259, 0.963);Origin: (-0.107, 1.459, 0.542), Dir: (-0.301, -0.190, 0.934);(-0.076, 1.456, 0.545);(0.070, -0.049, -0.045, 0.995);
1.64941;Origin: (-0.045, 1.453, 0.548), Dir: (-0.077, -0.258, 0.963);Origin: (-0.107, 1.459, 0.542), Dir: (-0.302, -0.189, 0.935);(-0.076, 1.456, 0.545);(0.069, -0.049, -0.045, 0.995);
1.66923;Origin: (-0.045, 1.453, 0.548), Dir: (-0.076, -0.258, 0.963);Origin: (-0.107, 1.459, 0.542), Dir: (-0.301, -0.188, 0.935);(-0.076, 1.456, 0.545);(0.069, -0.049, -0.045, 0.995);
1.70720;Origin: (-0.044, 1.453, 0.548), Dir: (-0.074, -0.258, 0.963);Origin: (-0.107, 1.459, 0.542), Dir: (-0.299, -0.189, 0.935);(-0.075, 1.456, 0.545);(0.069, -0.048, -0.045, 0.995);
1.73612;Origin: (-0.044, 1.453, 0.548), Dir: (-0.074, -0.258, 0.963);Origin: (-0.107, 1.459, 0.542), Dir: (-0.298, -0.189, 0.936);(-0.075, 1.456, 0.545);(0.069, -0.048, -0.045, 0.995);
1.76422;Origin: (-0.044, 1.453, 0.548), Dir: (-0.075, -0.257, 0.963);Origin: (-0.107, 1.459, 0.542), Dir: (-0.299, -0.188, 0.935);(-0.075, 1.456, 0.545);(0.069, -0.048, -0.045, 0.995);
1.81991;Origin: (-0.044, 1.453, 0.548), Dir: (-0.076, -0.257, 0.964);Origin: (-0.107, 1.459, 0.542), Dir: (-0.300, -0.187, 0.935);(-0.076, 1.456, 0.545);(0.068, -0.049, -0.045, 0.995);
1.83861;Origin: (-0.044, 1.453, 0.548), Dir: (-0.075, -0.257, 0.964);Origin: (-0.107, 1.459, 0.542), Dir: (-0.299, -0.187, 0.936);(-0.076, 1.456, 0.545);(0.068, -0.048, -0.045, 0.995);
