Timestamp;Main Camera (1)_position;Main Camera (1)_orientation;messages;
1.48179;Origin: (-0.040, 1.462, 0.538), Dir: (-0.070, -0.275, 0.959);Origin: (-0.103, 1.465, 0.536), Dir: (-0.257, -0.157, 0.954);(-0.072, 1.464, 0.537);(0.041, -0.016, -0.027, 0.999);
1.50805;Origin: (-0.040, 1.462, 0.538), Dir: (-0.070, -0.276, 0.959);Origin: (-0.103, 1.465, 0.536), Dir: (-0.257, -0.158, 0.954);(-0.072, 1.464, 0.537);(0.041, -0.016, -0.027, 0.999);
1.53843;Origin: (-0.040, 1.462, 0.538), Dir: (-0.070, -0.276, 0.958);Origin: (-0.103, 1.465, 0.536), Dir: (-0.258, -0.156, 0.953);(-0.072, 1.464, 0.537);(0.041, -0.016, -0.027, 0.999);
1.56667;Origin: (-0.040, 1.462, 0.538), Dir: (-0.070, -0.277, 0.958);Origin: (-0.103, 1.465, 0.536), Dir: (-0.262, -0.149, 0.953);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.62574;Origin: (-0.040, 1.462, 0.538), Dir: (-0.070, -0.278, 0.958);Origin: (-0.103, 1.465, 0.536), Dir: (-0.262, -0.148, 0.954);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.64784;Origin: (-0.040, 1.462, 0.538), Dir: (-0.010, -0.233, 0.973);Origin: (-0.103, 1.465, 0.536), Dir: (-0.218, -0.108, 0.970);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.68139;Origin: (-0.040, 1.462, 0.538), Dir: (-0.009, -0.231, 0.973);Origin: (-0.103, 1.465, 0.536), Dir: (-0.218, -0.109, 0.970);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.71166;Origin: (-0.040, 1.462, 0.538), Dir: (-0.009, -0.230, 0.973);Origin: (-0.103, 1.465, 0.537), Dir: (-0.213, -0.118, 0.970);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.75341;Origin: (-0.040, 1.462, 0.538), Dir: (-0.008, -0.229, 0.973);Origin: (-0.103, 1.465, 0.537), Dir: (-0.209, -0.123, 0.970);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.81861;Origin: (-0.040, 1.462, 0.538), Dir: (-0.007, -0.227, 0.974);Origin: (-0.103, 1.465, 0.537), Dir: (-0.209, -0.123, 0.970);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.84005;Origin: (-0.040, 1.462, 0.538), Dir: (-0.007, -0.226, 0.974);Origin: (-0.103, 1.465, 0.537), Dir: (-0.209, -0.121, 0.970);(-0.072, 1.464, 0.538);(0.042, -0.015, -0.027, 0.999);
1.86630;Origin: (-0.040, 1.462, 0.538), Dir: (-0.014, -0.160, 0.987);Origin: (-0.103, 1.465, 0.537), Dir: (-0.209, -0.082, 0.974);(-0.072, 1.463, 0.538);(0.042, -0.015, -0.027, 0.999);
1.89396;Origin: (-0.040, 1.462, 0.538), Dir: (-0.009, -0.070, 0.998);Origin: (-0.103, 1.465, 0.537), Dir: (-0.212, -0.019, 0.977);(-0.072, 1.463, 0.538);(0.042, -0.015, -0.027, 0.999);
1.92633;Origin: (-0.040, 1.462, 0.538), Dir: (0.024, 0.019, 1.000);Origin: (-0.103, 1.465, 0.537), Dir: (-0.215, 0.032, 0.976);(-0.072, 1.463, 0.538);(0.042, -0.015, -0.027, 0.999);
1.99943;Origin: (-0.040, 1.462, 0.538), Dir: (0.126, 0.058, 0.990);Origin: (-0.103, 1.465, 0.537), Dir: (-0.143, 0.018, 0.990);(-0.072, 1.463, 0.538);(0.042, -0.014, -0.027, 0.999);
2.02432;Origin: (-0.040, 1.462, 0.538), Dir: (0.301, 0.028, 0.953);Origin: (-0.103, 1.465, 0.537), Dir: (-0.009, -0.008, 1.000);(-0.071, 1.463, 0.538);(0.042, -0.014, -0.027, 0.999);
2.06141;Origin: (-0.040, 1.462, 0.538), Dir: (0.366, 0.010, 0.931);Origin: (-0.103, 1.465, 0.537), Dir: (0.051, -0.045, 0.998);(-0.071, 1.463, 0.538);(0.042, -0.014, -0.027, 0.999);
2.09458;Origin: (-0.040, 1.462, 0.538), Dir: (0.393, -0.006, 0.920);Origin: (-0.103, 1.465, 0.537), Dir: (0.067, -0.059, 0.996);(-0.071, 1.463, 0.538);(0.042, -0.014, -0.027, 0.999);
2.15751;Origin: (-0.040, 1.462, 0.538), Dir: (0.393, -0.006, 0.920);Origin: (-0.103, 1.465, 0.537), Dir: (0.074, -0.065, 0.995);(-0.071, 1.463, 0.538);(0.042, -0.013, -0.027, 0.999);
2.18293;Origin: (-0.040, 1.462, 0.538), Dir: (0.439, -0.043, 0.898);Origin: (-0.103, 1.465, 0.537), Dir: (0.135, -0.089, 0.987);(-0.071, 1.463, 0.538);(0.042, -0.013, -0.027, 0.999);
2.22222;Origin: (-0.040, 1.462, 0.538), Dir: (0.444, -0.066, 0.894);Origin: (-0.103, 1.465, 0.537), Dir: (0.146, -0.112, 0.983);(-0.071, 1.463, 0.538);(0.042, -0.013, -0.027, 0.999);
2.25266;Origin: (-0.040, 1.462, 0.538), Dir: (0.441, -0.075, 0.894);Origin: (-0.103, 1.465, 0.537), Dir: (0.151, -0.117, 0.981);(-0.071, 1.463, 0.538);(0.042, -0.013, -0.027, 0.999);
2.31539;Origin: (-0.040, 1.462, 0.538), Dir: (0.440, -0.084, 0.894);Origin: (-0.103, 1.465, 0.537), Dir: (0.154, -0.119, 0.981);(-0.071, 1.463, 0.538);(0.042, -0.013, -0.027, 0.999);
2.34039;Origin: (-0.040, 1.462, 0.538), Dir: (0.436, -0.086, 0.896);Origin: (-0.102, 1.465, 0.537), Dir: (0.160, -0.119, 0.980);(-0.071, 1.463, 0.538);(0.042, -0.013, -0.027, 0.999);
