CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
62.34;totalGazeArea: 20.40;averageGazeArea1: 2.01;averageGazeArea3: 4.15;averageGazeArea5: 5.85;averageGazeArea10: 8.93;
1;(4.1, 0.0, 7.8);14.54;1;
2;(19.3, 0.0, -1.1);35.62;0;
