Saccade_Number;Start_Time;StartPosition_x;StartPosition_y;EndPosition_x;EndPosition_y;Saccade_Duration;Saccade_Magnitude;messages;
1;0.020;70.48;-19.52;0.000;-35.915;0.333;72.36;
2;0.472;5.08;-43.59;45.569;15.443;0.108;71.58;
3;0.658;32.06;-36.97;20.514;-34.692;0.027;11.77;
4;0.715;22.87;-31.01;25.236;-28.734;0.028;3.29;
5;4.112;33.26;19.73;31.562;22.504;0.030;3.25;
6;6.484;18.71;14.85;18.331;12.464;0.028;2.41;
7;6.798;19.06;-3.34;7.959;-6.362;0.030;11.50;
8;6.855;7.88;-6.56;20.617;-8.814;0.029;12.94;
9;7.142;19.93;-7.92;7.057;-14.669;0.029;14.53;
10;7.332;4.60;-14.35;10.242;-11.870;0.038;6.16;
11;7.458;8.54;-10.45;8.008;-8.061;0.028;2.45;
12;7.614;8.32;-5.96;11.993;-1.906;0.028;5.47;
13;7.756;13.56;-0.44;9.491;-4.816;0.027;5.98;
14;10.756;8.11;-11.15;8.916;-15.634;0.028;4.55;
15;10.813;9.10;-18.76;10.212;-20.894;0.029;2.40;
16;10.943;11.59;-24.72;10.721;-22.409;0.026;2.47;
17;11.741;13.67;-22.11;18.516;-21.912;0.029;4.85;
18;11.970;26.19;-19.47;30.122;-21.334;0.028;4.35;
19;12.255;30.00;-22.27;21.831;-23.101;0.058;8.21;
20;12.483;20.26;-23.83;21.580;-30.437;0.029;6.74;
21;12.628;15.95;-28.81;25.540;-46.701;0.071;20.30;
22;12.731;22.40;-44.02;27.611;-44.763;0.038;5.27;
23;12.969;26.48;-43.79;30.981;-36.102;0.041;8.91;
24;13.111;30.92;-36.72;26.005;-43.330;0.030;8.24;
25;13.198;24.49;-45.27;26.570;-39.213;0.029;6.40;
26;13.255;26.79;-38.75;29.057;-33.826;0.028;5.42;
27;14.370;30.65;-36.30;26.371;-14.699;0.027;22.02;
28;14.428;26.05;-13.85;23.660;-18.412;0.028;5.15;
29;14.613;23.30;-24.09;21.338;-19.498;0.029;5.00;
30;14.670;26.56;-10.40;23.131;-8.097;0.029;4.13;
31;14.728;19.33;-18.39;21.384;-22.558;0.043;4.65;
32;14.842;21.37;-22.47;18.228;-6.139;0.044;16.63;
33;14.999;13.82;-12.42;19.237;-13.505;0.027;5.52;
34;15.154;15.02;-19.14;13.983;-21.931;0.031;2.98;
35;15.385;14.46;-19.74;14.365;-22.349;0.028;2.61;
36;15.542;14.41;-22.94;11.330;-16.303;0.044;7.32;
37;15.913;15.19;-22.33;21.289;-26.157;0.026;7.20;
38;15.970;24.95;-25.29;29.507;-31.606;0.028;7.79;
39;16.114;27.12;-37.87;27.414;-35.201;0.028;2.68;
40;16.300;28.13;-37.86;34.780;-31.638;0.044;9.10;
41;16.383;28.32;-35.62;37.258;-38.569;0.030;9.41;
42;16.443;36.41;-36.87;30.315;-37.330;0.027;6.12;
43;16.499;28.43;-43.87;26.216;-41.347;0.028;3.35;
44;16.556;25.71;-42.22;28.073;-39.001;0.031;3.99;
45;16.719;24.41;-43.56;30.361;-42.483;0.039;6.05;
46;16.798;28.51;-38.10;37.810;-37.764;0.030;9.31;
47;16.856;41.35;-38.35;37.141;-40.847;0.028;4.89;
48;17.112;39.49;-38.44;44.444;-31.330;0.060;8.66;
49;17.256;48.16;-27.40;50.238;-23.350;0.029;4.55;
50;17.414;50.00;-22.85;57.978;-19.934;0.028;8.49;
51;17.469;47.24;-20.16;52.757;-19.668;0.030;5.54;
52;17.527;51.43;-21.68;51.893;-16.354;0.026;5.35;
53;17.586;52.01;-15.28;54.594;-12.199;0.026;4.02;
54;17.640;51.41;-15.26;50.253;-13.495;0.028;2.11;
55;18.369;45.08;-14.14;42.189;-9.962;0.030;5.08;
56;19.214;41.03;-4.67;42.715;-0.727;0.044;4.29;
57;19.913;49.64;1.55;48.445;5.140;0.027;3.79;
58;20.141;45.75;6.45;41.245;9.674;0.033;5.54;
59;20.454;41.91;15.11;45.508;18.855;0.034;5.20;
60;20.629;45.71;18.82;49.183;17.505;0.045;3.72;
61;20.900;49.74;17.74;54.294;16.908;0.042;4.63;
62;21.001;56.78;16.19;58.613;13.063;0.054;3.63;
63;21.185;56.88;14.33;50.477;16.331;0.043;6.71;
