Time;CollisionNumber;CollisionPosition;CollisionTime;CollisionType;
73.88;1;(-1.5, 0.0, 7.5);4.84;0;
73.88;2;(0.4, 0.0, 14.3);7.18;0;
73.88;3;(-1.8, 0.0, 24.5);11.68;0;
73.88;4;(-3.6, 0.0, 24.6);12.3;0;
73.88;5;(-5.7, 0.0, 24.5);13.04;0;
73.88;6;(-11.4, 0.0, 24.6);15.24;0;
73.88;7;(-11.4, 0.0, 24.6);18.76;0;
73.88;8;(-11.4, 0.0, 24.6);42.06;0;
73.88;9;(-11.8, 0.0, 23.6);42.9;0;
73.88;10;(-11.4, 0.0, 24.5);46.78;0;
73.88;11;(-11.8, 0.0, 23.6);48.54;0;
73.88;12;(-38.7, 0.0, 29.8);68.64;1;
73.88;13;(-38.7, 0.0, 29.8);69.22;1;
