Timestamp;Total_Angles_x;Total_Angles_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
0.00000;40.56542;-14.38124;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
0.02000;0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
0.35333;0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);No pattern saccade;
0.49402;33.27554;-51.24772;(-0.086, 1.718, 0.623);(-0.013, -0.048, 0.006, 0.999);
0.59205;17.45894;-32.58072;(-0.186, 1.733, 0.700);(-0.004, -0.045, 0.002, 0.999);No pattern saccade;
0.66414;13.04565;-33.2983;(-0.203, 1.735, 0.712);(-0.003, -0.046, 0.001, 0.999);No pattern saccade;
0.71894;12.5064;-33.31182;(-0.217, 1.738, 0.722);(-0.003, -0.045, 0.000, 0.999);Pattern 1 saccade;
0.77541;12.22182;-33.19516;(-0.226, 1.739, 0.728);(-0.002, -0.046, -0.001, 0.999);
0.80402;12.09445;-33.35061;(-0.235, 1.740, 0.735);(-0.001, -0.046, -0.001, 0.999);
0.83677;11.7255;-33.402;(-0.240, 1.741, 0.738);(-0.001, -0.046, -0.001, 0.999);
0.86314;11.71192;-33.41258;(-0.244, 1.742, 0.741);(0.000, -0.046, -0.001, 0.999);
0.90668;11.74001;-33.41466;(-0.249, 1.743, 0.744);(0.000, -0.045, -0.001, 0.999);
0.93469;11.9729;-33.41983;(-0.255, 1.743, 0.745);(0.000, -0.018, 0.001, 1.000);
0.96140;16.96807;-32.57433;(-0.255, 1.743, 0.745);(0.000, -0.017, 0.001, 1.000);
0.99137;0.04436891;-18.81141;(-0.255, 1.743, 0.745);(0.000, -0.016, 0.000, 1.000);Pattern 1 saccade;
1.02064;-0.1124369;-18.81492;(-0.255, 1.743, 0.745);(0.000, -0.016, 0.000, 1.000);No pattern saccade;
1.07745;-0.1334841;-18.82418;(-0.255, 1.743, 0.745);(0.000, -0.016, 0.000, 1.000);
1.10476;-0.2697652;-18.75225;(-0.255, 1.743, 0.745);(-0.001, -0.016, -0.001, 1.000);
1.13516;-4.198189;-8.241962;(-0.255, 1.744, 0.745);(-0.001, -0.016, -0.001, 1.000);
1.16283;-7.609272;-3.971154;(-0.255, 1.744, 0.745);(-0.001, -0.016, -0.001, 1.000);No pattern saccade;
1.19034;-13.64818;3.381292;(-0.255, 1.744, 0.745);(-0.001, -0.018, -0.002, 1.000);No pattern saccade;
1.22030;-19.70651;4.635936;(-0.255, 1.744, 0.745);(-0.002, -0.019, -0.002, 1.000);No pattern saccade;
1.26279;-21.66075;4.786979;(-0.255, 1.744, 0.745);(-0.002, -0.020, -0.002, 1.000);Pattern 1 saccade;
1.29096;-41.03485;7.726365;(0.038, 1.683, 0.532);(-0.002, -0.008, -0.002, 1.000);
1.33397;-27.72878;4.95869;(0.037, 1.683, 0.531);(-0.003, -0.009, -0.002, 1.000);Pattern 1 saccade;
1.36343;-27.34539;4.952078;(0.037, 1.684, 0.530);(-0.003, -0.009, -0.002, 1.000);Pattern 1 saccade;
1.38970;-27.3025;4.908727;(0.036, 1.684, 0.530);(-0.003, -0.010, -0.001, 1.000);
1.42021;-35.68955;8.903801;(0.036, 1.684, 0.530);(-0.003, -0.010, -0.001, 1.000);
1.46170;-38.38169;9.732979;(0.036, 1.684, 0.531);(-0.003, -0.011, -0.001, 1.000);No pattern saccade;
1.49001;-38.67066;9.844659;(0.036, 1.683, 0.532);(-0.003, -0.012, -0.001, 1.000);
1.52292;-40.12397;10.00653;(0.054, 1.681, 0.558);(-0.003, -0.057, -0.001, 0.998);
1.56087;-50.53638;10.07152;(0.054, 1.679, 0.558);(-0.003, -0.058, -0.001, 0.998);
1.59043;-50.4921;9.985156;(0.054, 1.679, 0.557);(-0.003, -0.059, -0.001, 0.998);Pattern 1 saccade;
1.61962;-50.56657;10.0924;(0.054, 1.679, 0.557);(-0.002, -0.060, -0.001, 0.998);
1.64959;-50.63453;10.03002;(0.053, 1.679, 0.558);(-0.002, -0.060, -0.001, 0.998);
1.67539;-50.75595;9.885422;(0.053, 1.678, 0.558);(-0.002, -0.060, -0.001, 0.998);
1.70488;-50.84921;9.942071;(0.052, 1.678, 0.559);(-0.001, -0.061, -0.001, 0.998);
1.73562;-50.9451;9.910229;(0.052, 1.679, 0.559);(-0.001, -0.061, -0.001, 0.998);
1.76168;-51.15737;9.756181;(0.052, 1.679, 0.559);(-0.001, -0.061, -0.001, 0.998);
1.79160;-51.1871;9.742855;(0.052, 1.680, 0.559);(-0.002, -0.061, -0.001, 0.998);
1.82025;-51.36551;9.725431;(0.053, 1.680, 0.559);(-0.002, -0.062, -0.001, 0.998);
1.84653;-51.50068;9.697639;(0.053, 1.680, 0.559);(-0.002, -0.062, -0.001, 0.998);
1.87498;-51.70409;9.89219;(0.053, 1.680, 0.558);(-0.003, -0.062, -0.001, 0.998);
1.90480;-51.75359;9.987629;(0.053, 1.681, 0.558);(-0.002, -0.062, -0.001, 0.998);
1.93298;-48.90656;11.49953;(0.053, 1.681, 0.558);(-0.003, -0.062, -0.001, 0.998);
1.97640;-8.870291;10.76421;(0.053, 1.681, 0.558);(-0.003, -0.062, -0.001, 0.998);
2.00394;8.363943;7.340336;(0.053, 1.681, 0.558);(-0.003, -0.062, 0.000, 0.998);Pattern 1 saccade;
2.04721;32.13683;3.838785;(0.053, 1.681, 0.558);(-0.003, -0.061, 0.000, 0.998);Pattern 1 saccade;
2.07574;51.22902;-0.5422692;(0.054, 1.681, 0.558);(-0.003, -0.059, 0.000, 0.998);Pattern 1 saccade;
2.10451;54.52134;-2.211246;(0.054, 1.681, 0.558);(-0.003, -0.058, 0.000, 0.998);Pattern 1 saccade;
2.13643;54.94502;-3.615923;(0.054, 1.681, 0.558);(-0.003, -0.056, 0.000, 0.998);
2.16399;54.92608;-4.397406;(0.054, 1.681, 0.557);(-0.003, -0.055, 0.000, 0.998);
