CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
23.18;totalGazeArea: 17.15;averageGazeArea1: 2.21;averageGazeArea3: 5.22;averageGazeArea5: 7.06;averageGazeArea10: 10.91;
1;(7.2, 0.0, 24.6);13.32;2;
2;(6.2, 0.0, 24.6);13.6;0;
