Timestamp;Total_Angles_x;Total_Angles_y;Head_Rotation_x;Head_Rotation_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
0.00000;70.47953;-19.52042;0;0;(0.00, 1.60, 0.00);(0.00, 0.00, 0.00);
0.02000;0;-35.91512;0;0;(0.00, 1.60, 0.00);(0.00, 0.00, 0.00);
0.35333;7.167357;-43.95219;0.008736349;-2.786548;(-0.30, 1.65, 0.52);(2.79, 0.01, 0.46);Pattern 1 saccade;
0.48709;-0.6112636;-13.3967;0.04398758;-2.803079;(-0.30, 1.65, 0.52);(2.80, 0.04, 0.44);No pattern saccade;
0.57834;-0.576744;-13.41371;0.0553214;-2.802724;(-0.30, 1.65, 0.52);(2.80, 0.06, 0.45);No pattern saccade;
0.63814;-0.5636126;-13.41334;0.05940228;-2.806944;(-0.30, 1.65, 0.52);(2.81, 0.06, 0.45);
0.69778;-0.5593923;-13.41771;0.05863228;-2.807439;(-0.30, 1.65, 0.52);(2.81, 0.06, 0.45);
0.73770;-0.5605876;-13.41819;0.06065283;-2.808175;(-0.30, 1.65, 0.52);(2.81, 0.06, 0.45);
0.77362;-0.5586861;-13.41895;0.0585985;-2.80742;(-0.30, 1.65, 0.52);(2.81, 0.06, 0.45);
0.81452;-0.5608724;-13.41825;0.05942465;-2.805293;(-0.30, 1.65, 0.52);(2.81, 0.06, 0.45);
0.88631;-0.5601046;-13.41605;0.0603259;-2.804958;(-0.30, 1.65, 0.52);(2.80, 0.06, 0.45);
0.93089;-0.581528;-13.41775;0.4721346;-2.753675;(-0.30, 1.65, 0.52);(2.75, 0.47, 0.47);
0.97616;-0.1555008;-13.3646;0.4693589;-2.754854;(-0.30, 1.65, 0.52);(2.75, 0.47, 0.46);
1.05527;-0.1593141;-13.36563;0.4687063;-2.758005;(-0.30, 1.65, 0.52);(2.76, 0.47, 0.46);
1.10884;-0.1604039;-13.36877;0.4692893;-2.760462;(-0.30, 1.65, 0.52);(2.76, 0.47, 0.46);
1.16007;-0.1600774;-13.37101;0.4673902;-2.767827;(-0.30, 1.65, 0.52);(2.77, 0.47, 0.45);
1.22137;-0.1625361;-13.3785;0.4659958;-2.771216;(-0.30, 1.65, 0.52);(2.77, 0.47, 0.45);
1.25562;-0.1645203;-13.382;0.4642956;-2.771214;(-0.30, 1.65, 0.52);(2.77, 0.46, 0.45);
1.30386;-0.1671921;-13.38199;0.4631782;-2.769901;(-0.30, 1.65, 0.52);(2.77, 0.46, 0.44);
1.34274;-0.1691362;-13.38053;0.4627486;-2.770949;(-0.30, 1.65, 0.52);(2.77, 0.46, 0.44);
1.40860;-0.1698979;-13.38146;0.4616207;-2.774147;(-0.30, 1.65, 0.52);(2.77, 0.46, 0.44);
1.44566;-0.1712591;-13.38479;0.4619677;-2.773926;(-0.30, 1.65, 0.52);(2.77, 0.46, 0.44);
1.48441;-0.1712568;-13.38441;0.4632406;-2.777221;(-0.30, 1.65, 0.52);(2.78, 0.46, 0.43);
1.53062;-0.1701293;-13.38777;0.4617157;-2.77825;(-0.30, 1.65, 0.52);(2.78, 0.46, 0.43);
1.59194;-0.171638;-13.38878;0.4601627;-2.779626;(-0.30, 1.65, 0.52);(2.78, 0.46, 0.43);
1.62878;-0.1731691;-13.39016;0.4597323;-2.780967;(-0.30, 1.65, 0.52);(2.78, 0.46, 0.43);
1.67057;-0.1733784;-13.39148;0.4584933;-2.783072;(-0.30, 1.65, 0.52);(2.78, 0.46, 0.44);
1.71423;-0.1742706;-13.39375;0.4561153;-2.78139;(-0.30, 1.65, 0.52);(2.78, 0.46, 0.44);
1.78145;-0.1763991;-13.39207;0.4550848;-2.7799;(-0.30, 1.65, 0.52);(2.78, 0.46, 0.44);
1.81349;-0.1771338;-13.39062;0.4554361;-2.778132;(-0.30, 1.65, 0.52);(2.78, 0.46, 0.44);
1.85689;-0.1759811;-13.38887;0.4517989;-2.776477;(-0.30, 1.65, 0.52);(2.78, 0.45, 0.45);
1.89930;-0.1790211;-13.38722;0.4503052;-2.775716;(-0.30, 1.65, 0.52);(2.78, 0.45, 0.45);
1.96899;-0.180171;-13.38646;0.4503562;-2.775472;(-0.30, 1.65, 0.52);(2.78, 0.45, 0.45);
2.00833;-0.1796521;-13.38629;0.4498393;-2.774219;(-0.30, 1.65, 0.52);(2.77, 0.45, 0.45);
2.06395;-0.1801599;-13.38497;0.4492739;-2.774881;(-0.30, 1.65, 0.52);(2.77, 0.45, 0.45);
2.12833;-0.1807622;-13.38558;0.4482165;-2.776668;(-0.30, 1.65, 0.52);(2.78, 0.45, 0.45);
2.17387;-0.1815211;-13.38749;0.4462034;-2.775483;(-0.30, 1.65, 0.52);(2.78, 0.45, 0.45);
2.21631;-0.1832376;-13.38631;0.4447918;-2.774812;(-0.30, 1.65, 0.52);(2.77, 0.44, 0.45);
2.25864;-0.184629;-13.38566;0.44483;-2.773657;(-0.30, 1.65, 0.52);(2.77, 0.44, 0.45);
2.30331;-0.1845666;-13.38452;0.4418445;-2.772113;(-0.30, 1.65, 0.52);(2.77, 0.44, 0.45);
2.34742;-0.1878759;-13.38291;0.4439571;-2.771891;(-0.30, 1.65, 0.52);(2.77, 0.44, 0.45);
2.39099;-0.1854858;-13.38256;0.4432051;-2.77487;(-0.30, 1.65, 0.52);(2.77, 0.44, 0.45);
2.43790;-0.1860398;-13.38562;0.4432707;-2.776484;(-0.30, 1.65, 0.52);(2.78, 0.44, 0.45);
2.47436;-0.1857705;-13.38721;0.4436283;-2.778636;(-0.30, 1.65, 0.52);(2.78, 0.44, 0.46);
2.51809;-0.1851011;-13.38943;0.4418977;-2.779839;(-0.30, 1.65, 0.52);(2.78, 0.44, 0.46);
2.56259;-0.1868286;-13.39061;0.4418538;-2.781397;(-0.30, 1.65, 0.52);(2.78, 0.44, 0.46);
2.60458;-0.1869878;-13.3921;0.442853;-2.784886;(-0.30, 1.65, 0.52);(2.78, 0.44, 0.45);
2.65475;-0.1862991;-13.39568;0.4421609;-2.785754;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.45);
2.70080;-0.1871348;-13.39648;0.4419575;-2.787784;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.45);
2.74882;-0.1871057;-13.39852;0.4404915;-2.789491;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.46);
2.78618;-0.1881801;-13.40032;0.4387338;-2.789349;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.46);
2.82835;-0.1896414;-13.40014;0.4405404;-2.790379;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.46);
2.86639;-0.1871142;-13.40125;0.4402376;-2.790849;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.46);
2.90198;-0.1869617;-13.40175;0.4395129;-2.791224;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.47);
2.94265;-0.1872641;-13.40212;0.4398565;-2.792178;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.47);
2.98603;-0.1863096;-13.40317;0.4375285;-2.791806;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.47);
3.03311;-0.1886603;-13.40284;0.438983;-2.790761;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.47);
3.08922;-0.1873213;-13.40172;0.4374206;-2.791307;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.47);
3.12905;-0.1892149;-13.40228;0.4357114;-2.791214;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.47);
3.18835;-0.191349;-13.40217;0.4355381;-2.790822;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.46);
3.22955;-0.1920078;-13.40173;0.4342464;-2.790784;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.46);
3.27183;-0.1939149;-13.40164;0.4322211;-2.790875;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.46);
3.31661;-0.1963342;-13.40175;0.4298587;-2.789823;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.46);
3.35595;-0.1989365;-13.40068;0.432193;-2.78904;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.46);
3.39839;-0.1964843;-13.39983;0.4314116;-2.789976;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.45);
3.42989;-0.1970033;-13.40081;0.4287458;-2.78961;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.46);
3.47030;-0.1993915;-13.40046;0.4304556;-2.789791;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.46);
3.51311;-0.1974004;-13.40073;0.4299524;-2.788149;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.46);
3.54533;-0.1979256;-13.39911;0.4335305;-2.786094;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.46);
3.58577;-0.1941635;-13.397;0.4337174;-2.785931;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.46);
3.62872;-0.1941277;-13.39686;0.4307744;-2.784736;(-0.30, 1.65, 0.52);(2.78, 0.43, 0.46);
3.67784;-0.1977498;-13.3956;0.4335182;-2.784392;(-0.30, 1.65, 0.52);(2.78, 0.43, 0.46);
3.72324;-0.1950838;-13.39521;0.4308767;-2.784576;(-0.30, 1.65, 0.52);(2.78, 0.43, 0.45);
3.76552;-0.198073;-13.3954;0.4312362;-2.784329;(-0.30, 1.65, 0.52);(2.78, 0.43, 0.45);
3.80477;-0.1979017;-13.3951;0.4313163;-2.785063;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.45);
3.84798;-0.1978942;-13.39576;0.4318762;-2.787526;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.45);
3.88955;-0.1972414;-13.3983;0.4312082;-2.787941;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.45);
3.93493;-0.1979877;-13.39877;0.4305358;-2.787329;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.45);
3.98026;-0.1992449;-13.3981;0.4325712;-2.787463;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.45);
4.03349;-0.197585;-13.39824;0.4329785;-2.786936;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.45);
4.12531;-0.1975761;-13.39764;0.4326836;-2.787328;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.44);
4.16158;-0.1981094;-13.398;0.4334866;-2.788129;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.44);
4.20563;-0.1971098;-13.39879;0.4326559;-2.78933;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.45);
4.26138;-0.1978166;-13.40003;0.4330361;-2.789647;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.45);
4.30476;-0.1975044;-13.40043;0.4349217;-2.788187;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.45);
4.35247;-0.1958982;-13.3989;0.4352071;-2.788446;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.44);
4.38911;-0.1960785;-13.39919;0.4358083;-2.787082;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.44);
4.43963;-0.1957662;-13.39773;0.4344506;-2.787458;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.44);
4.47688;-0.1975704;-13.39807;0.4347785;-2.788004;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.44);
4.51821;-0.1974471;-13.39863;0.4322515;-2.787788;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.43);
4.56125;-0.2005419;-13.39845;0.4360628;-2.785983;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.43);
4.60463;-0.1968578;-13.39658;0.4349447;-2.785899;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.43);
4.65075;-0.1985162;-13.39652;0.4342913;-2.784059;(-0.30, 1.65, 0.52);(2.78, 0.43, 0.43);
4.68925;-0.1993111;-13.39459;0.4315482;-2.783901;(-0.30, 1.65, 0.52);(2.78, 0.43, 0.43);
4.73467;-0.2023168;-13.39442;0.4336855;-2.784037;(-0.30, 1.65, 0.52);(2.78, 0.43, 0.43);
4.78145;-0.2001455;-13.39451;0.434552;-2.785091;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.43);
4.82200;-0.1989154;-13.39558;0.4328756;-2.785997;(-0.30, 1.65, 0.52);(2.79, 0.43, 0.43);
4.86412;-0.2002607;-13.39656;0.4355366;-2.785731;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.43);
4.90681;-0.1969974;-13.39627;0.4382324;-2.786995;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.44);
4.94825;-0.1938894;-13.39759;0.4391727;-2.788085;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.44);
4.99136;-0.1925985;-13.39876;0.4368521;-2.786939;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.44);
5.03277;-0.1945299;-13.39765;0.4365716;-2.786005;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.44);
5.09208;-0.1943934;-13.39671;0.4373741;-2.785364;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.45);
5.14515;-0.1932375;-13.39606;0.4401026;-2.785954;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.45);
5.19189;-0.1901815;-13.39668;0.4387394;-2.786461;(-0.30, 1.65, 0.52);(2.79, 0.44, 0.45);
5.23291;-0.1916685;-13.39733;0.4387291;-2.783249;(-0.30, 1.65, 0.52);(2.78, 0.44, 0.45);
