CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
46.98;totalGazeArea: 15.23;averageGazeArea1: 2.29;averageGazeArea3: 4.44;averageGazeArea5: 6.14;averageGazeArea10: 8.63;
1;(-4.0, 0.0, 6.0);5.12;0;
2;(-6.5, 0.0, 15.9);13.2;0;
3;(-6.5, 0.0, 21.5);17.06;0;
4;(-9.8, 0.0, 24.9);26.68;2;
