1.20377;Origin: (-0.068, 1.432, 0.567), Dir: (-0.002, -0.388, 0.922);Origin: (-0.130, 1.429, 0.560), Dir: (-0.231, -0.364, 0.902);(-0.099, 1.430, 0.564);(-0.152, 0.047, -0.038, -0.987);
1.23228;Origin: (-0.067, 1.431, 0.568), Dir: (0.000, -0.397, 0.918);Origin: (-0.130, 1.427, 0.562), Dir: (-0.230, -0.372, 0.899);(-0.098, 1.429, 0.565);(-0.156, 0.047, -0.036, -0.986);
1.25989;Origin: (-0.068, 1.429, 0.569), Dir: (-0.009, -0.406, 0.914);Origin: (-0.131, 1.426, 0.562), Dir: (-0.239, -0.380, 0.893);(-0.099, 1.427, 0.566);(-0.161, 0.051, -0.036, -0.985);
1.28886;Origin: (-0.070, 1.428, 0.570), Dir: (-0.026, -0.415, 0.910);Origin: (-0.133, 1.424, 0.562), Dir: (-0.255, -0.388, 0.886);(-0.102, 1.426, 0.566);(-0.165, 0.060, -0.035, -0.984);
1.31866;Origin: (-0.072, 1.427, 0.571), Dir: (-0.042, -0.418, 0.908);Origin: (-0.135, 1.424, 0.562), Dir: (-0.271, -0.390, 0.880);(-0.104, 1.426, 0.566);(-0.167, 0.068, -0.033, -0.983);
1.34815;Origin: (-0.075, 1.426, 0.571), Dir: (-0.060, -0.420, 0.905);Origin: (-0.137, 1.424, 0.561), Dir: (-0.288, -0.390, 0.874);(-0.106, 1.425, 0.566);(-0.168, 0.077, -0.032, -0.982);
1.37628;Origin: (-0.077, 1.427, 0.571), Dir: (-0.077, -0.416, 0.906);Origin: (-0.139, 1.425, 0.559), Dir: (-0.304, -0.385, 0.871);(-0.108, 1.426, 0.565);(-0.165, 0.085, -0.030, -0.982);
1.40350;Origin: (-0.078, 1.429, 0.569), Dir: (-0.095, -0.404, 0.910);Origin: (-0.140, 1.428, 0.557), Dir: (-0.322, -0.371, 0.871);(-0.109, 1.428, 0.563);(-0.158, 0.093, -0.028, -0.983);
1.43445;Origin: (-0.080, 1.432, 0.568), Dir: (-0.112, -0.389, 0.914);Origin: (-0.141, 1.431, 0.555), Dir: (-0.338, -0.355, 0.872);(-0.111, 1.431, 0.561);(-0.150, 0.101, -0.025, -0.983);
1.46257;Origin: (-0.082, 1.435, 0.565), Dir: (-0.105, -0.404, 0.909);Origin: (-0.143, 1.434, 0.551), Dir: (-0.330, -0.369, 0.869);(-0.113, 1.434, 0.558);(-0.140, 0.109, -0.026, -0.984);
