CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
44.06;totalGazeArea: 24.97;averageGazeArea1: 2.80;averageGazeArea3: 6.62;averageGazeArea5: 8.88;averageGazeArea10: 12.71;
1;(-1.8, 0.0, 15.3);14.08;0;
2;(-2.2, 0.0, 16.6);15.06;1;
3;(-2.7, 0.0, 15.3);16.34;0;
4;(-4.0, 0.0, 16.2);20.56;0;
