Timestamp;Total_Angles_x;Total_Angles_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
2.34817;-5.803521;-39.20883;(0.105, 1.637, 0.505);(-0.123, 0.040, 0.057, -0.990);No pattern saccade;
2.38914;-5.062304;-38.20496;(0.100, 1.637, 0.507);(-0.118, 0.055, 0.043, -0.991);
2.41767;-10.55105;-19.55228;(0.095, 1.637, 0.503);(-0.102, 0.064, 0.030, -0.992);
2.44749;-16.21258;-22.32223;(0.093, 1.638, 0.503);(-0.091, 0.067, 0.025, -0.993);No pattern saccade;
2.48989;-17.99818;-18.26232;(0.091, 1.639, 0.502);(-0.083, 0.067, 0.023, -0.994);No pattern saccade;
2.53204;-19.86102;-16.08128;(0.088, 1.642, 0.500);(-0.078, 0.068, 0.021, -0.994);
2.57747;-19.98456;-14.55216;(0.086, 1.644, 0.500);(-0.072, 0.072, 0.016, -0.995);
2.61876;-16.9191;-16.24651;(0.083, 1.646, 0.499);(-0.066, 0.082, 0.011, -0.994);
2.65976;-10.34029;-35.27957;(0.078, 1.648, 0.499);(-0.061, 0.094, 0.007, -0.994);
2.68881;-9.545367;-36.76847;(0.075, 1.649, 0.497);(-0.058, 0.105, 0.005, -0.993);No pattern saccade;
2.71794;-9.85048;-36.78482;(0.073, 1.650, 0.496);(-0.056, 0.109, 0.003, -0.993);
2.76093;-10.42776;-37.39729;(0.070, 1.650, 0.495);(-0.052, 0.110, 0.002, -0.993);
2.80718;-11.26239;-37.67693;(0.068, 1.651, 0.494);(-0.048, 0.107, 0.000, -0.993);
2.84705;-12.48419;-38.2898;(0.068, 1.653, 0.492);(-0.041, 0.099, 0.000, -0.994);
2.88954;-2.05928;-35.39972;(0.068, 1.654, 0.490);(-0.033, 0.089, 0.002, -0.996);
2.91905;-1.597173;-34.88854;(0.069, 1.656, 0.489);(-0.023, 0.079, 0.005, -0.997);Pattern 1 saccade;
2.96156;-1.251461;-34.80536;(0.070, 1.658, 0.487);(-0.016, 0.073, 0.008, -0.997);
3.00483;-5.131275;-26.78602;(0.072, 1.661, 0.486);(-0.002, 0.062, 0.011, -0.998);
3.06346;-14.15145;-12.82574;(0.075, 1.663, 0.484);(-0.013, -0.052, -0.013, 0.998);No pattern saccade;
3.10490;-13.41387;-7.836385;(0.078, 1.665, 0.481);(-0.027, -0.036, -0.014, 0.999);No pattern saccade;
3.14751;-13.05666;-5.644031;(0.079, 1.667, 0.482);(-0.032, -0.024, -0.012, 0.999);No pattern saccade;
3.18998;-11.97824;-4.274995;(0.084, 1.669, 0.477);(-0.035, -0.014, -0.009, 0.999);
3.23235;-1.62765;-12.18182;(0.085, 1.671, 0.476);(-0.042, -0.008, -0.006, 0.999);
3.27811;-1.840433;-14.98748;(0.084, 1.672, 0.475);(-0.052, -0.005, -0.003, 0.999);No pattern saccade;
3.31824;-1.386906;-15.29824;(0.084, 1.672, 0.475);(-0.059, -0.004, -0.003, 0.998);
3.36135;-0.5108213;-15.05388;(0.084, 1.672, 0.475);(-0.059, -0.005, -0.005, 0.998);
3.40458;-0.4600196;-14.05088;(0.087, 1.673, 0.474);(-0.058, -0.003, -0.007, 0.998);
3.44572;-0.2856219;-14.26489;(0.086, 1.672, 0.473);(-0.063, -0.006, -0.005, 0.998);
3.47829;1.320011;-15.03318;(0.087, 1.672, 0.473);(-0.064, -0.013, -0.005, 0.998);
3.51939;1.562779;-14.3811;(0.088, 1.672, 0.472);(-0.065, -0.019, -0.004, 0.998);
3.55949;2.699996;-13.5152;(0.089, 1.671, 0.468);(-0.063, -0.020, 0.001, 0.998);
3.58762;1.836262;-12.82796;(0.088, 1.671, 0.467);(-0.060, -0.013, 0.002, 0.998);
3.61620;-1.741451;-13.50423;(0.088, 1.670, 0.466);(-0.059, -0.010, -0.001, 0.998);
3.64675;-1.388465;-13.90513;(0.088, 1.670, 0.466);(-0.059, -0.007, -0.005, 0.998);
3.67496;0.2541769;-15.09748;(0.088, 1.669, 0.466);(-0.060, -0.007, -0.010, 0.998);
3.70466;0.1144855;-14.85509;(0.088, 1.669, 0.467);(-0.062, -0.008, -0.014, 0.998);
3.74585;-0.2519567;-14.42069;(0.088, 1.670, 0.468);(-0.064, -0.007, -0.019, 0.998);
3.78972;-1.196267;-14.27774;(0.090, 1.670, 0.470);(-0.069, -0.005, -0.025, 0.997);
3.82254;-0.5179098;-14.26302;(0.091, 1.671, 0.471);(-0.077, -0.003, -0.030, 0.997);
3.85948;-0.4298981;-14.21302;(0.092, 1.672, 0.472);(-0.081, -0.002, -0.031, 0.996);
3.89089;-0.4791045;-14.13807;(0.093, 1.673, 0.472);(-0.086, -0.001, -0.031, 0.996);
3.93229;-1.030842;-13.31103;(0.093, 1.674, 0.473);(-0.088, 0.000, -0.030, 0.996);
3.96124;-1.423501;-13.18431;(0.092, 1.674, 0.474);(-0.088, 0.000, -0.026, 0.996);
4.00602;-1.393975;-12.96306;(0.091, 1.674, 0.475);(-0.088, 0.000, -0.023, 0.996);
4.06032;-1.34245;-12.86422;(0.090, 1.674, 0.478);(-0.089, -0.002, -0.018, 0.996);
4.10310;-0.4444485;-12.91035;(0.089, 1.673, 0.479);(-0.092, -0.004, -0.017, 0.996);
4.13169;-0.3308872;-12.78315;(0.088, 1.673, 0.479);(-0.094, -0.005, -0.018, 0.995);
