Saccade_Number;Start_Time;Left-Right_Saccade;Radial_Saccade;StartPosition_x;StartPosition_y;EndPosition_x;EndPosition_y;Saccade_Duration;Saccade_Magnitude;messages;
1;0.020;0;1;0.00;-35.92;0.459;-33.438;0.333;2.52;
2;0.480;0;1;14.01;-73.32;-7.025;1.124;0.080;77.36;
3;0.703;1;0;7.92;1.02;17.885;1.052;0.055;9.97;
4;2.630;0;0;6.54;2.89;6.583;2.679;0.030;0.21;
5;2.827;0;0;1.86;-3.31;1.555;-3.456;0.031;0.34;
6;3.488;0;0;-4.80;-12.56;-2.262;-3.765;0.030;9.16;
7;3.932;1;0;2.01;-2.85;-2.611;-2.929;0.058;4.62;
8;4.112;0;0;36.24;0.72;35.981;0.117;0.036;0.65;
9;4.372;1;0;44.42;1.89;44.244;1.932;0.029;0.18;
10;5.013;1;1;43.49;0.75;0.195;-0.545;0.273;43.31;
11;6.087;1;0;2.32;-1.00;2.412;-0.985;0.030;0.09;
12;6.372;1;0;14.96;-1.67;24.033;-1.543;0.088;9.07;
13;6.572;0;0;34.86;-0.34;37.360;0.562;0.056;2.66;
14;7.000;1;1;26.94;-1.77;4.258;-2.756;0.129;22.71;
15;7.402;0;1;-5.50;4.38;-15.144;7.630;0.088;10.18;
16;7.572;0;0;-21.81;6.91;-23.336;4.692;0.022;2.69;
17;7.622;0;0;-24.99;2.38;-25.045;0.469;0.033;1.91;
18;7.930;1;0;-11.95;-1.52;-5.249;0.374;0.028;6.96;
19;7.987;1;0;2.18;0.67;6.945;-0.735;0.075;4.97;
20;8.239;0;1;1.70;8.42;-2.611;23.566;0.092;15.75;
21;8.357;0;1;-4.23;24.95;-4.426;25.897;0.028;0.96;
22;8.678;0;1;-3.97;21.28;-2.157;-8.511;0.165;29.85;
23;9.138;0;0;0.09;-15.47;5.867;-34.754;0.145;20.13;
24;9.358;1;0;4.99;-37.66;4.980;-37.659;0.028;0.01;
25;9.593;0;1;3.88;-33.30;1.648;-9.011;0.067;24.40;
26;9.857;1;1;4.53;-7.71;43.454;0.809;0.191;39.84;
27;10.073;0;0;41.56;0.24;41.299;-0.113;0.026;0.44;
28;10.186;0;0;48.40;0.18;50.652;1.144;0.021;2.45;
29;10.629;1;0;46.18;-2.87;40.802;-1.866;0.028;5.47;
30;10.686;1;0;37.22;-1.84;37.198;-1.829;0.030;0.03;
31;11.029;0;0;42.57;-1.20;45.919;-2.499;0.069;3.59;
32;11.187;1;1;40.73;-3.99;34.529;-2.901;0.026;6.30;
33;11.292;1;0;28.99;-3.36;28.869;-3.385;0.037;0.12;
34;11.531;1;0;37.96;-2.74;58.126;-1.900;0.085;20.19;
35;12.147;1;0;48.83;0.93;48.285;1.070;0.026;0.56;
36;12.929;1;1;55.44;-1.27;73.675;-2.985;0.058;18.32;
37;13.332;1;0;67.88;-3.65;54.149;-2.154;0.054;13.81;
38;13.416;1;0;46.36;-2.78;44.656;-3.290;0.025;1.78;
39;13.717;0;0;41.53;7.89;39.620;23.421;0.111;15.65;
40;14.110;0;0;31.64;39.62;29.396;41.093;0.061;2.68;
41;14.199;0;0;33.15;37.41;35.261;32.451;0.029;5.39;
42;14.271;0;0;40.40;23.55;36.973;2.005;0.023;21.82;
43;14.332;0;0;41.78;-3.24;40.666;-6.867;0.025;3.79;
44;14.670;1;0;34.64;-4.78;20.478;-0.916;0.115;14.68;
45;15.099;1;0;27.22;-1.55;52.588;-6.492;0.116;25.85;
46;15.513;0;0;45.94;-14.66;37.040;-26.030;0.085;14.44;
47;16.087;0;0;39.66;-17.18;42.299;-1.713;0.085;15.69;
48;16.570;0;0;38.62;0.42;37.442;0.937;0.030;1.28;
49;16.629;0;0;33.90;1.39;33.682;1.474;0.030;0.23;
50;16.741;1;0;37.24;-0.80;35.083;-1.088;0.030;2.17;
51;16.808;1;1;31.91;-1.55;0.428;-4.401;0.205;31.61;
52;17.342;0;0;0.69;-0.72;-2.227;9.773;0.116;10.89;
