Timestamp;Main Camera (1)_position;Main Camera (1)_orientation;messages;
0.00000;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
0.02000;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
0.35333;Origin: (-0.223, 1.272, 0.522), Dir: (-0.445, -0.863, -0.239);Origin: (-0.255, 1.285, 0.469), Dir: (-0.613, -0.743, -0.270);(-0.239, 1.279, 0.496);(-0.512, 0.456, -0.183, -0.704);
0.45598;Origin: (-0.046, 1.458, 0.543), Dir: (-0.382, -0.221, 0.897);Origin: (-0.108, 1.465, 0.536), Dir: (-0.499, -0.051, 0.865);(-0.077, 1.462, 0.539);(-0.048, 0.062, 0.051, -0.996);
0.51425;Origin: (-0.048, 1.457, 0.545), Dir: (-0.398, -0.233, 0.887);Origin: (-0.110, 1.463, 0.537), Dir: (-0.515, -0.062, 0.855);(-0.079, 1.460, 0.541);(-0.056, 0.071, 0.050, -0.995);
0.53167;Origin: (-0.053, 1.454, 0.549), Dir: (-0.426, -0.251, 0.869);Origin: (-0.114, 1.461, 0.539), Dir: (-0.542, -0.080, 0.837);(-0.084, 1.457, 0.544);(-0.067, 0.086, 0.051, -0.993);
0.56461;Origin: (-0.056, 1.452, 0.550), Dir: (-0.442, -0.258, 0.859);Origin: (-0.117, 1.460, 0.539), Dir: (-0.557, -0.087, 0.826);(-0.086, 1.456, 0.545);(-0.071, 0.095, 0.050, -0.992);
0.59269;Origin: (-0.058, 1.452, 0.551), Dir: (-0.453, -0.261, 0.852);Origin: (-0.119, 1.459, 0.539), Dir: (-0.568, -0.090, 0.818);(-0.088, 1.456, 0.545);(-0.073, 0.102, 0.049, -0.991);
0.62180;Origin: (-0.060, 1.452, 0.552), Dir: (-0.465, -0.264, 0.845);Origin: (-0.121, 1.459, 0.539), Dir: (-0.579, -0.093, 0.810);(-0.090, 1.455, 0.545);(-0.075, 0.108, 0.049, -0.990);
0.66203;Origin: (-0.062, 1.451, 0.552), Dir: (-0.476, -0.267, 0.838);Origin: (-0.123, 1.458, 0.539), Dir: (-0.590, -0.095, 0.802);(-0.092, 1.455, 0.545);(-0.077, 0.115, 0.049, -0.989);
0.70800;Origin: (-0.066, 1.449, 0.554), Dir: (-0.504, -0.273, 0.819);Origin: (-0.126, 1.457, 0.538), Dir: (-0.616, -0.100, 0.781);(-0.096, 1.453, 0.546);(-0.083, 0.131, 0.051, -0.987);
0.73653;Origin: (-0.068, 1.449, 0.555), Dir: (-0.522, -0.274, 0.808);Origin: (-0.128, 1.457, 0.538), Dir: (-0.633, -0.100, 0.768);(-0.098, 1.453, 0.546);(-0.085, 0.141, 0.052, -0.985);
0.76534;Origin: (-0.071, 1.448, 0.555), Dir: (-0.544, -0.276, 0.793);Origin: (-0.131, 1.456, 0.537), Dir: (-0.652, -0.101, 0.751);(-0.101, 1.452, 0.546);(-0.088, 0.153, 0.054, -0.983);
0.81227;Origin: (-0.043, 1.446, 0.554), Dir: (-0.403, -0.276, 0.872);Origin: (-0.105, 1.456, 0.546), Dir: (-0.514, -0.099, 0.852);(-0.074, 1.451, 0.550);(0.086, -0.068, -0.071, 0.991);
0.84960;Origin: (-0.037, 1.445, 0.553), Dir: (-0.378, -0.274, 0.884);Origin: (-0.099, 1.456, 0.547), Dir: (-0.488, -0.097, 0.868);(-0.068, 1.451, 0.550);(0.086, -0.053, -0.077, 0.992);
0.87485;Origin: (-0.041, 1.445, 0.554), Dir: (-0.409, -0.270, 0.872);Origin: (-0.102, 1.456, 0.546), Dir: (-0.516, -0.091, 0.852);(-0.072, 1.451, 0.550);(0.087, -0.069, -0.080, 0.991);
0.91258;Origin: (-0.046, 1.445, 0.555), Dir: (-0.444, -0.265, 0.856);Origin: (-0.107, 1.457, 0.545), Dir: (-0.549, -0.085, 0.831);(-0.076, 1.451, 0.550);(0.087, -0.088, -0.082, 0.989);
0.93963;Origin: (-0.049, 1.447, 0.554), Dir: (-0.464, -0.256, 0.848);Origin: (-0.110, 1.458, 0.543), Dir: (-0.568, -0.077, 0.819);(-0.079, 1.452, 0.549);(0.084, -0.100, -0.082, 0.988);
0.96849;Origin: (-0.051, 1.448, 0.554), Dir: (-0.487, -0.244, 0.838);Origin: (-0.112, 1.459, 0.541), Dir: (-0.589, -0.064, 0.805);(-0.082, 1.454, 0.547);(0.079, -0.113, -0.085, 0.987);
0.99660;Origin: (-0.054, 1.449, 0.553), Dir: (-0.515, -0.227, 0.826);Origin: (-0.114, 1.462, 0.538), Dir: (-0.614, -0.047, 0.788);(-0.084, 1.455, 0.545);(0.074, -0.129, -0.089, 0.985);
1.02236;Origin: (-0.058, 1.451, 0.552), Dir: (-0.544, -0.210, 0.813);Origin: (-0.117, 1.464, 0.534), Dir: (-0.639, -0.029, 0.769);(-0.087, 1.458, 0.543);(0.067, -0.146, -0.092, 0.983);
1.06354;Origin: (-0.061, 1.454, 0.549), Dir: (-0.570, -0.187, 0.800);Origin: (-0.119, 1.467, 0.530), Dir: (-0.662, -0.006, 0.749);(-0.090, 1.461, 0.540);(0.058, -0.162, -0.094, 0.981);
1.09741;Origin: (-0.065, 1.459, 0.545), Dir: (-0.601, -0.152, 0.784);Origin: (-0.122, 1.472, 0.523), Dir: (-0.689, 0.028, 0.724);(-0.093, 1.465, 0.534);(0.041, -0.182, -0.096, 0.978);
1.12276;Origin: (-0.067, 1.460, 0.544), Dir: (-0.618, -0.144, 0.773);Origin: (-0.124, 1.473, 0.521), Dir: (-0.704, 0.036, 0.710);(-0.095, 1.467, 0.533);(0.038, -0.192, -0.097, 0.976);
1.15147;Origin: (-0.069, 1.459, 0.546), Dir: (-0.630, -0.149, 0.762);Origin: (-0.126, 1.472, 0.522), Dir: (-0.715, 0.032, 0.699);(-0.097, 1.466, 0.534);(0.042, -0.200, -0.098, 0.974);
1.18157;Origin: (-0.072, 1.457, 0.548), Dir: (-0.638, -0.165, 0.752);Origin: (-0.128, 1.470, 0.523), Dir: (-0.724, 0.016, 0.690);(-0.100, 1.463, 0.536);(0.051, -0.205, -0.096, 0.973);
1.20981;Origin: (-0.074, 1.454, 0.550), Dir: (-0.640, -0.188, 0.745);Origin: (-0.131, 1.467, 0.526), Dir: (-0.727, -0.007, 0.686);(-0.102, 1.460, 0.538);(0.062, -0.206, -0.092, 0.972);
1.24084;Origin: (-0.076, 1.450, 0.554), Dir: (-0.636, -0.221, 0.740);Origin: (-0.133, 1.462, 0.530), Dir: (-0.726, -0.040, 0.686);(-0.105, 1.456, 0.542);(0.078, -0.204, -0.085, 0.972);
1.26667;Origin: (-0.079, 1.445, 0.558), Dir: (-0.626, -0.258, 0.736);Origin: (-0.136, 1.457, 0.534), Dir: (-0.721, -0.078, 0.688);(-0.107, 1.451, 0.546);(0.094, -0.199, -0.076, 0.972);
1.29473;Origin: (-0.080, 1.440, 0.562), Dir: (-0.609, -0.301, 0.733);Origin: (-0.138, 1.451, 0.539), Dir: (-0.711, -0.123, 0.693);(-0.109, 1.445, 0.550);(0.113, -0.191, -0.066, 0.973);
1.32503;Origin: (-0.081, 1.433, 0.566), Dir: (-0.585, -0.352, 0.731);Origin: (-0.140, 1.443, 0.545), Dir: (-0.693, -0.175, 0.700);(-0.110, 1.438, 0.556);(0.136, -0.178, -0.055, 0.973);
1.35238;Origin: (-0.081, 1.427, 0.570), Dir: (-0.552, -0.399, 0.732);Origin: (-0.140, 1.436, 0.551), Dir: (-0.667, -0.225, 0.710);(-0.111, 1.431, 0.561);(0.156, -0.162, -0.042, 0.973);
1.37985;Origin: (-0.080, 1.423, 0.573), Dir: (-0.517, -0.438, 0.735);Origin: (-0.140, 1.429, 0.556), Dir: (-0.639, -0.268, 0.721);(-0.110, 1.426, 0.565);(0.171, -0.146, -0.028, 0.974);
1.41071;Origin: (-0.078, 1.421, 0.574), Dir: (-0.482, -0.461, 0.746);Origin: (-0.139, 1.426, 0.559), Dir: (-0.609, -0.295, 0.736);(-0.109, 1.423, 0.566);(0.178, -0.129, -0.016, 0.975);
1.44203;Origin: (-0.076, 1.422, 0.574), Dir: (-0.445, -0.472, 0.761);Origin: (-0.138, 1.424, 0.560), Dir: (-0.577, -0.310, 0.755);(-0.107, 1.423, 0.567);(0.178, -0.111, -0.004, 0.978);
1.48230;Origin: (-0.071, 1.425, 0.572), Dir: (-0.390, -0.470, 0.792);Origin: (-0.133, 1.426, 0.561), Dir: (-0.528, -0.313, 0.789);(-0.102, 1.425, 0.566);(0.169, -0.084, 0.010, 0.982);
