CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
97.52;totalGazeArea: 15.82;averageGazeArea1: 1.76;averageGazeArea3: 3.42;averageGazeArea5: 4.54;averageGazeArea10: 6.26;
1;(0.9, 0.0, 2.8);16.12;1;
2;(-1.3, 0.0, 9.6);32.06;0;
3;(13.7, 0.0, -3.0);67.26;0;
4;(12.3, 0.0, -13.2);80.4;1;
