Saccade_Number;Start_Time;Left-Right_Saccade;Radial_Saccade;StartPosition_x;StartPosition_y;HeadsetNormedStartPosition_x;HeadsetNormedStartPosition_y;EndPosition_x;EndPosition_y;HeadsetNormedEndPosition_x;HeadsetNormedEndPosition_y;Saccade_Duration;Saccade_Magnitude;messages;
49;12.149;0;0;-27.36;-11.22;-17.87;-18.23;-26.595;-11.638;-17.112;-18.583;0.056;0.87;
50;12.228;0;0;-25.13;-13.04;-15.63;-19.88;-24.700;-13.492;-15.172;-20.216;0.036;0.62;
51;12.547;1;0;-15.94;-11.49;-6.57;-18.11;9.524;-9.802;17.880;-16.114;0.144;25.52;
52;12.981;0;0;7.79;-15.45;14.97;-21.13;5.612;-20.382;12.751;-25.888;0.073;5.39;
53;13.466;1;0;-1.01;-23.88;5.61;-28.96;-15.849;-23.188;-9.049;-28.165;0.098;14.85;
54;13.906;0;0;-21.82;-25.64;-13.68;-30.60;-22.761;-26.726;-14.535;-31.675;0.031;1.44;
55;14.219;1;0;-17.66;-29.82;-8.88;-34.47;-14.613;-30.832;-5.869;-35.440;0.059;3.21;
56;14.434;1;0;-2.99;-30.92;5.91;-35.37;8.534;-28.668;17.446;-33.100;0.057;11.74;
57;14.758;0;0;12.61;-28.82;20.42;-33.28;15.846;-27.182;23.412;-31.569;0.063;3.63;
58;15.119;0;0;5.47;-31.47;13.02;-35.49;-2.096;-35.200;5.367;-39.031;0.058;8.44;
59;15.706;1;0;-12.36;-33.81;-5.03;-36.87;-19.119;-33.017;-11.781;-36.026;0.084;6.80;
60;16.230;1;0;0.91;-22.32;8.82;-24.88;8.110;-23.309;16.014;-25.838;0.033;7.26;
61;16.648;1;0;6.69;-22.95;14.31;-25.30;-20.431;-16.606;-12.628;-18.952;0.146;27.85;
62;17.133;1;0;-18.81;-14.43;-10.68;-16.84;10.231;-7.254;18.238;-9.656;0.144;29.91;
63;17.581;1;1;6.28;-6.51;14.27;-8.95;-7.804;-2.777;0.242;-5.206;0.058;14.57;
64;17.691;1;1;-17.15;-1.69;-9.05;-4.12;-25.834;0.705;-17.570;-1.769;0.061;9.01;
65;18.149;1;1;-21.14;4.99;-12.62;2.42;10.649;3.707;18.946;1.227;0.121;31.82;
66;18.650;0;1;-1.61;7.98;6.45;5.56;-19.893;15.810;-11.670;13.345;0.113;19.89;
67;18.948;0;0;-18.29;19.61;-9.92;17.04;-20.200;17.659;-11.786;15.122;0.029;2.73;
68;19.105;0;0;-20.37;19.95;-11.83;17.47;-19.931;21.151;-11.367;18.653;0.030;1.28;
69;19.267;1;0;-9.91;18.12;-1.39;15.64;11.542;14.512;19.946;12.111;0.114;21.75;
70;19.809;1;1;2.77;13.19;10.99;10.83;-8.631;12.679;-0.359;10.295;0.081;11.41;
71;20.059;0;0;-18.86;8.68;-10.30;6.21;-19.209;8.546;-10.536;6.045;0.074;0.38;
72;20.222;1;0;-25.35;8.31;-16.40;5.79;-26.940;8.676;-17.901;6.141;0.026;1.63;
73;20.440;1;0;-33.88;7.83;-24.11;5.05;-35.886;7.624;-25.955;4.817;0.037;2.02;
74;20.905;0;0;-30.89;17.36;-20.60;14.76;-24.618;24.179;-14.327;21.613;0.058;9.26;
75;21.305;0;0;-26.97;22.85;-15.75;20.82;-33.498;18.629;-21.920;16.636;0.063;7.77;
76;21.963;1;0;-27.95;18.82;-15.92;17.07;-22.209;20.390;-10.176;18.835;0.058;5.95;
77;22.277;1;0;-11.31;20.69;0.78;19.17;-0.690;18.426;11.205;16.939;0.099;10.86;
78;22.574;0;0;5.66;13.70;17.22;12.22;11.022;10.242;22.545;8.672;0.060;6.38;
79;22.837;0;0;9.94;4.39;21.44;3.08;6.730;-14.550;18.163;-15.757;0.126;19.21;
80;23.091;0;0;-1.45;-23.58;9.91;-24.66;-1.782;-23.747;9.589;-24.783;0.028;0.37;
81;23.175;0;0;-8.47;-27.65;2.91;-28.64;-8.856;-28.079;2.552;-28.964;0.022;0.57;
82;23.462;0;0;-15.89;-30.08;-4.25;-30.49;-17.869;-28.391;-6.190;-28.750;0.031;2.61;
83;23.519;1;0;-22.51;-25.19;-10.78;-25.51;-24.406;-24.831;-12.627;-25.114;0.029;1.93;
84;23.806;0;0;-29.60;-21.18;-17.39;-21.29;-32.461;-17.974;-20.012;-18.053;0.072;4.30;
85;23.905;0;0;-34.90;-14.02;-22.39;-14.09;-36.183;-8.869;-23.582;-8.903;0.058;5.31;
86;24.104;0;0;-36.22;-1.14;-23.53;-1.17;-36.255;-1.060;-23.557;-1.089;0.029;0.09;
87;24.218;1;1;-25.40;1.97;-12.70;1.93;-11.433;4.554;1.237;4.431;0.058;14.20;
