CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
74.48;totalGazeArea: 18.76;averageGazeArea1: 1.80;averageGazeArea3: 3.57;averageGazeArea5: 5.02;averageGazeArea10: 7.82;
1;(4.9, 0.0, 18.8);18.58;0;
2;(13.8, 0.0, 9.7);41.32;0;
3;(26.0, 0.0, 13.7);51.04;0;
