Timestamp;Total_Angles_x;Total_Angles_y;Head_Rotation_x;Head_Rotation_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
0.00000;70.47953;-19.52042;0;0;(0.00, 1.60, 0.00);(0.00, 0.00, 0.00);
0.02000;0;-35.91512;0;0;(0.00, 1.60, 0.00);(0.00, 0.00, 0.00);
0.35333;7.81413;-43.03236;0.3446747;-2.860062;(-0.33, 1.63, 0.49);(2.86, 0.34, 0.52);Pattern 1 saccade;
0.47501;4.529745;-2.812228;0.2345203;-2.851865;(-0.33, 1.63, 0.49);(2.85, 0.23, 0.49);No pattern saccade;
0.54209;4.415302;-2.805951;0.240325;-2.849499;(-0.33, 1.63, 0.49);(2.85, 0.24, 0.49);No pattern saccade;
0.59743;4.435804;-2.806942;0.01305615;-2.786888;(-0.33, 1.63, 0.49);(2.79, 0.01, 0.51);
0.65065;4.149339;-2.739109;0.8405678;-2.795747;(-0.32, 1.63, 0.49);(2.80, 0.84, 0.53);
0.69369;5.019125;-2.746604;0.8388555;-2.802391;(-0.32, 1.63, 0.49);(2.80, 0.84, 0.52);
0.73460;5.017968;-2.754219;0.8394779;-2.802168;(-0.32, 1.63, 0.49);(2.80, 0.84, 0.53);
0.78070;5.018436;-2.753661;0.8381499;-2.805806;(-0.32, 1.63, 0.49);(2.81, 0.84, 0.52);
0.82607;5.017246;-2.757454;0.8365914;-2.809505;(-0.32, 1.63, 0.49);(2.81, 0.84, 0.52);
0.88019;5.0155;-2.761273;0.8367791;-2.81167;(-0.32, 1.63, 0.49);(2.81, 0.84, 0.52);
0.92284;5.015708;-2.763503;0.8358253;-2.815138;(-0.32, 1.63, 0.49);(2.82, 0.84, 0.52);
0.96538;5.01439;-2.767198;0.8361541;-2.818014;(-0.32, 1.63, 0.49);(2.82, 0.84, 0.51);
1.00727;5.014973;-2.770552;0.8370221;-2.821655;(-0.32, 1.63, 0.49);(2.82, 0.84, 0.51);
1.06904;5.015969;-2.774395;0.831686;-2.825451;(-0.32, 1.63, 0.49);(2.83, 0.83, 0.50);
1.10880;5.010374;-2.778588;0.8330976;-2.830252;(-0.32, 1.63, 0.49);(2.83, 0.83, 0.50);
1.15146;5.011884;-2.783787;0.8313415;-2.834324;(-0.32, 1.63, 0.49);(2.83, 0.83, 0.49);
1.19563;5.010416;-2.788325;0.8308356;-2.83781;(-0.32, 1.63, 0.49);(2.84, 0.83, 0.49);
1.23650;5.009945;-2.791866;0.8262544;-2.841735;(-0.32, 1.63, 0.49);(2.84, 0.83, 0.49);
1.28150;5.005384;-2.79621;0.8261059;-2.843152;(-0.32, 1.63, 0.49);(2.84, 0.83, 0.49);
1.32235;5.005365;-2.797629;0.822034;-2.844687;(-0.32, 1.63, 0.49);(2.84, 0.82, 0.48);
1.36612;5.0014;-2.79922;0.8212415;-2.847205;(-0.32, 1.63, 0.49);(2.85, 0.82, 0.49);
1.40896;5.000385;-2.801662;0.8224664;-2.847701;(-0.32, 1.63, 0.49);(2.85, 0.82, 0.49);
1.45753;5.00166;-2.802018;0.8197532;-2.849409;(-0.32, 1.63, 0.49);(2.85, 0.82, 0.49);
1.49569;4.998779;-2.803895;0.8183964;-2.850137;(-0.32, 1.63, 0.49);(2.85, 0.82, 0.48);
1.54675;4.997793;-2.804815;0.816985;-2.851652;(-0.32, 1.63, 0.49);(2.85, 0.82, 0.48);
1.58755;4.995944;-2.806212;0.8184457;-2.852257;(-0.32, 1.63, 0.49);(2.85, 0.82, 0.48);
1.62279;4.997976;-2.806906;0.8153703;-2.853843;(-0.32, 1.63, 0.49);(2.85, 0.82, 0.49);
1.65158;4.994418;-2.808226;0.8181838;-2.856562;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.49);
1.69464;4.997633;-2.811048;0.8132122;-2.856812;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
1.74152;4.992627;-2.811298;0.8161174;-2.857022;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.49);
1.77943;4.995004;-2.811197;0.8163319;-2.855245;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.49);
1.82400;4.995694;-2.809631;0.8127624;-2.854905;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.49);
1.86581;4.991838;-2.809258;0.8151277;-2.855498;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.49);
1.91051;4.99438;-2.80989;0.8153704;-2.85484;(-0.32, 1.63, 0.49);(2.85, 0.82, 0.49);
1.95567;4.994274;-2.809026;0.8170684;-2.856411;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.49);
1.99508;4.9967;-2.810858;0.810975;-2.856548;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
2.03892;4.989756;-2.810825;0.8179642;-2.857678;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.49);
2.09533;4.997601;-2.812005;0.8102404;-2.858037;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
2.13864;4.989281;-2.812415;0.8150868;-2.856853;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.49);
2.18168;4.994649;-2.811025;0.8114295;-2.857038;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
2.22137;4.990406;-2.811021;0.8170357;-2.857088;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.49);
2.25098;4.996662;-2.810882;0.8110732;-2.858429;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
2.27840;4.990276;-2.812239;0.8132225;-2.857185;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
2.30778;4.992188;-2.810798;0.8155532;-2.856804;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.50);
2.33494;4.995066;-2.810487;0.8108966;-2.856567;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
2.36626;4.9901;-2.810215;0.8126603;-2.855529;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
2.41127;4.991625;-2.809026;0.8153901;-2.854715;(-0.32, 1.63, 0.49);(2.85, 0.82, 0.50);
2.45253;4.994643;-2.808276;0.8126792;-2.853943;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.50);
2.49328;4.991538;-2.807658;0.8153231;-2.851856;(-0.32, 1.63, 0.49);(2.85, 0.82, 0.50);
2.52652;4.99472;-2.805625;0.8118383;-2.851944;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.50);
2.56699;4.990932;-2.805685;0.8137533;-2.852006;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.50);
2.60718;4.992846;-2.805741;0.8136134;-2.851779;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.50);
2.64195;4.992764;-2.805613;0.8137705;-2.85159;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.50);
2.67832;4.992897;-2.805413;0.812709;-2.851849;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.49);
2.70705;4.991802;-2.805784;0.8130116;-2.85218;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.49);
2.73542;4.992203;-2.806273;0.812158;-2.851144;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.49);
2.77962;4.991342;-2.805307;0.8121752;-2.849431;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.49);
2.82161;4.991353;-2.803442;0.8134639;-2.850399;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.49);
2.85119;4.992652;-2.804337;0.8135492;-2.851471;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.49);
2.89376;4.992878;-2.805376;0.8140086;-2.852633;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.50);
2.93773;4.993386;-2.806379;0.8123561;-2.853268;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.50);
2.97964;4.991662;-2.806969;0.8118296;-2.852474;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.50);
3.02197;4.991073;-2.806059;0.8127562;-2.851961;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.50);
3.06785;4.992018;-2.805491;0.8098168;-2.85018;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.50);
3.10773;4.988853;-2.803686;0.8141581;-2.850224;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.50);
3.14965;4.99324;-2.803558;0.8174872;-2.851682;(-0.32, 1.63, 0.49);(2.85, 0.82, 0.50);
3.18016;4.99679;-2.80484;0.8161475;-2.854431;(-0.32, 1.63, 0.49);(2.85, 0.82, 0.50);
3.22180;4.995561;-2.807609;0.8157185;-2.855501;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.51);
3.25642;4.994288;-2.808397;0.8228983;-2.857405;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.50);
3.30266;5.002356;-2.810472;0.8179069;-2.859864;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.50);
3.34633;4.997123;-2.813049;0.8171625;-2.859614;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.50);
3.38561;4.996095;-2.81264;0.8179156;-2.862072;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.50);
3.43468;4.997222;-2.815448;0.8155225;-2.862013;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.50);
3.47574;4.994341;-2.81532;0.8178616;-2.863203;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.50);
3.51549;4.997258;-2.816873;0.8148704;-2.862072;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
3.55750;4.993825;-2.815631;0.8170463;-2.861681;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.50);
3.59634;4.996439;-2.815302;0.8121229;-2.86233;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
3.64033;4.990979;-2.816094;0.8152986;-2.861376;(-0.32, 1.63, 0.49);(2.86, 0.82, 0.49);
3.68268;4.994486;-2.815189;0.8144509;-2.86253;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
3.72806;4.993361;-2.816493;0.8140831;-2.861817;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
3.77473;4.993138;-2.81607;0.8141063;-2.861547;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
3.81285;4.993437;-2.815985;0.8095468;-2.860345;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
3.85616;4.988721;-2.814877;0.8108152;-2.859644;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
3.89767;4.989937;-2.814176;0.8115436;-2.858179;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
3.94405;4.990539;-2.812705;0.8121741;-2.857435;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.48);
3.98979;4.991405;-2.812069;0.8097044;-2.857868;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.48);
4.02604;4.989203;-2.812547;0.8075044;-2.859588;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.48);
4.08329;4.98687;-2.814159;0.8064125;-2.859773;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
4.12628;4.98559;-2.814282;0.8082094;-2.85927;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
4.17270;4.987291;-2.813622;0.8107692;-2.860384;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
4.21148;4.990149;-2.814762;0.8084799;-2.860583;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
4.25670;4.987751;-2.814862;0.8098103;-2.861575;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
4.30384;4.989097;-2.81586;0.8102915;-2.859501;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
4.34250;4.989558;-2.813506;0.8117524;-2.860265;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
4.38525;4.991048;-2.814264;0.8096747;-2.858142;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.49);
4.43297;4.98886;-2.812011;0.8114075;-2.858516;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
4.46929;4.990654;-2.812354;0.8105714;-2.857611;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
4.51405;4.989841;-2.811498;0.8101288;-2.855673;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
4.55474;4.989325;-2.809441;0.8108893;-2.854671;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.50);
4.59903;4.990158;-2.808232;0.8121938;-2.856534;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
4.64033;4.991584;-2.810014;0.811515;-2.856708;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
4.68449;4.99092;-2.810012;0.8099453;-2.856867;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
4.73230;4.989219;-2.810024;0.8091367;-2.856993;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.50);
4.77037;4.988536;-2.810227;0.8070462;-2.855049;(-0.32, 1.63, 0.49);(2.86, 0.81, 0.51);
4.81453;4.986207;-2.808141;0.8087013;-2.853679;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.51);
4.86198;4.987792;-2.806685;0.8103961;-2.852623;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.51);
4.89702;4.989567;-2.805624;0.8095972;-2.851832;(-0.32, 1.63, 0.49);(2.85, 0.81, 0.51);
