CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
55.82;totalGazeArea: 15.67;averageGazeArea1: 2.02;averageGazeArea3: 3.81;averageGazeArea5: 5.22;averageGazeArea10: 7.21;
1;(3.0, 0.0, 10.3);11.66;0;
2;(9.7, 0.0, 13.8);19.22;0;
3;(29.8, 0.0, 16.2);37.7;0;
4;(41.0, 0.0, 23.7);48.98;0;
