Timestamp;Total_Angles_x;Total_Angles_y;Head_Rotation_x;Head_Rotation_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
0.00000;70.47953;-19.52042;0;0;(0.00, 1.60, 0.00);(0.00, 0.00, 0.00);
0.02000;0;-35.91512;0;0;(0.00, 1.60, 0.00);(0.00, 0.00, 0.00);
0.35333;7.739966;-43.04144;1.759529;-2.860449;(-0.32, 1.63, 0.49);(2.86, 1.76, 0.53);Pattern 1 saccade;
0.48793;5.932358;-2.811796;1.791979;-2.857515;(-0.32, 1.63, 0.49);(2.86, 1.79, 0.52);No pattern saccade;
0.61612;5.967567;-2.809394;1.789696;-2.861393;(-0.32, 1.63, 0.49);(2.86, 1.79, 0.52);No pattern saccade;
0.78051;5.965002;-2.813183;1.79069;-2.865583;(-0.32, 1.63, 0.49);(2.87, 1.79, 0.52);
0.86644;5.966508;-2.817473;1.788482;-2.86868;(-0.32, 1.63, 0.49);(2.87, 1.79, 0.52);
0.92202;6.043726;-2.822446;0.4270792;-2.822637;(-0.33, 1.63, 0.49);(2.82, 0.43, 0.57);
0.97201;4.607616;-2.7704;0.4261594;-2.829274;(-0.33, 1.63, 0.49);(2.83, 0.43, 0.57);
1.01989;4.606848;-2.777346;0.4237687;-2.831182;(-0.33, 1.63, 0.49);(2.83, 0.42, 0.57);
1.10521;4.603996;-2.779292;0.4215104;-2.832186;(-0.33, 1.63, 0.49);(2.83, 0.42, 0.57);
1.16467;4.601774;-2.780695;0.4203651;-2.834701;(-0.33, 1.63, 0.49);(2.83, 0.42, 0.56);
1.23717;4.600328;-2.783419;0.4206662;-2.8407;(-0.33, 1.63, 0.49);(2.84, 0.42, 0.55);
1.34005;4.601002;-2.790017;0.4157512;-2.847713;(-0.33, 1.63, 0.49);(2.85, 0.42, 0.54);
1.39102;4.596168;-2.797751;0.4116415;-2.852087;(-0.33, 1.63, 0.49);(2.85, 0.41, 0.54);
1.42238;4.592293;-2.802563;0.4089735;-2.85722;(-0.33, 1.63, 0.49);(2.86, 0.41, 0.53);
1.44821;4.589536;-2.808062;0.4086008;-2.858338;(-0.33, 1.63, 0.49);(2.86, 0.41, 0.53);
1.47910;4.589158;-2.809297;0.4081982;-2.859608;(-0.33, 1.63, 0.49);(2.86, 0.41, 0.53);
1.51318;4.588937;-2.810668;0.4058532;-2.861398;(-0.33, 1.63, 0.49);(2.86, 0.41, 0.53);
1.55226;4.586535;-2.812666;0.4043474;-2.860518;(-0.33, 1.63, 0.49);(2.86, 0.40, 0.53);
1.59879;4.585126;-2.811823;0.4012764;-2.860359;(-0.33, 1.63, 0.49);(2.86, 0.40, 0.53);
1.64025;4.581892;-2.811713;0.4033664;-2.860604;(-0.33, 1.63, 0.49);(2.86, 0.40, 0.53);
1.68295;4.584065;-2.811876;0.4018935;-2.861465;(-0.33, 1.63, 0.49);(2.86, 0.40, 0.53);
1.72656;4.58256;-2.812832;0.4008676;-2.861815;(-0.33, 1.63, 0.49);(2.86, 0.40, 0.53);
1.77373;4.58147;-2.813292;0.4014307;-2.861786;(-0.33, 1.63, 0.49);(2.86, 0.40, 0.53);
1.81243;4.58206;-2.813368;0.4008895;-2.860797;(-0.33, 1.63, 0.49);(2.86, 0.40, 0.52);
1.85816;4.58149;-2.812357;0.39881;-2.862065;(-0.33, 1.63, 0.49);(2.86, 0.40, 0.52);
1.89377;4.579501;-2.81386;0.3977486;-2.863266;(-0.33, 1.63, 0.49);(2.86, 0.40, 0.52);
1.92557;4.578351;-2.815187;0.3968613;-2.863493;(-0.33, 1.63, 0.49);(2.86, 0.40, 0.52);
1.96367;4.577561;-2.815595;0.3948214;-2.863573;(-0.33, 1.63, 0.49);(2.86, 0.39, 0.52);
2.00200;4.575419;-2.815805;0.3947831;-2.863791;(-0.33, 1.63, 0.49);(2.86, 0.39, 0.51);
2.06651;4.575471;-2.816178;0.3934011;-2.863586;(-0.33, 1.63, 0.49);(2.86, 0.39, 0.51);
2.10643;4.574116;-2.816154;0.391965;-2.86232;(-0.33, 1.63, 0.49);(2.86, 0.39, 0.51);
2.13940;4.572813;-2.814938;0.3879505;-2.861747;(-0.33, 1.63, 0.49);(2.86, 0.39, 0.51);
2.17698;4.568578;-2.81447;0.3890955;-2.861682;(-0.33, 1.63, 0.49);(2.86, 0.39, 0.51);
2.20630;4.569748;-2.81454;0.3885213;-2.859994;(-0.33, 1.63, 0.49);(2.86, 0.39, 0.51);
2.23518;4.569428;-2.812916;0.384784;-2.859627;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.51);
2.26481;4.565358;-2.812506;0.387441;-2.861117;(-0.33, 1.63, 0.49);(2.86, 0.39, 0.51);
2.31224;4.568286;-2.81406;0.3846454;-2.862203;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.51);
2.35813;4.56529;-2.815259;0.3857149;-2.862464;(-0.33, 1.63, 0.49);(2.86, 0.39, 0.50);
2.40574;4.566477;-2.815546;0.386741;-2.863442;(-0.33, 1.63, 0.49);(2.86, 0.39, 0.50);
2.43461;4.567727;-2.816471;0.3829654;-2.864173;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.51);
2.47189;4.563821;-2.817213;0.3852576;-2.864567;(-0.33, 1.63, 0.49);(2.86, 0.39, 0.51);
2.50949;4.566186;-2.817329;0.3834398;-2.865782;(-0.33, 1.63, 0.49);(2.87, 0.38, 0.51);
2.54840;4.564256;-2.818684;0.3827772;-2.863088;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.51);
2.57981;4.563476;-2.815869;0.3834853;-2.862196;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.51);
2.60585;4.564326;-2.815008;0.3829194;-2.861336;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.51);
2.63360;4.56389;-2.814094;0.3809252;-2.860452;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.51);
2.66443;4.561755;-2.813072;0.3817678;-2.860228;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.51);
2.69603;4.562643;-2.812742;0.3799575;-2.859748;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.51);
2.74073;4.56076;-2.812304;0.3803254;-2.858422;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.51);
2.78206;4.561125;-2.810874;0.3811142;-2.857823;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.52);
2.82606;4.561975;-2.810172;0.379458;-2.857663;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.52);
2.86696;4.560308;-2.809982;0.3788778;-2.857912;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.52);
2.91033;4.559891;-2.810206;0.3754298;-2.85769;(-0.33, 1.63, 0.49);(2.86, 0.38, 0.52);
2.95309;4.556236;-2.809955;0.3739459;-2.85701;(-0.33, 1.63, 0.49);(2.86, 0.37, 0.52);
2.99715;4.554775;-2.809231;0.3728668;-2.858402;(-0.33, 1.63, 0.49);(2.86, 0.37, 0.52);
3.04688;4.55358;-2.810735;0.3735471;-2.858196;(-0.33, 1.63, 0.49);(2.86, 0.37, 0.51);
3.10901;4.554231;-2.810436;0.3745699;-2.860573;(-0.33, 1.63, 0.49);(2.86, 0.37, 0.51);
3.13997;4.555426;-2.81285;0.3743023;-2.863345;(-0.33, 1.63, 0.49);(2.86, 0.37, 0.51);
3.18813;4.555317;-2.81561;0.3734947;-2.86544;(-0.33, 1.63, 0.49);(2.87, 0.37, 0.52);
3.23190;4.554605;-2.817602;0.3722918;-2.866113;(-0.33, 1.63, 0.49);(2.87, 0.37, 0.52);
3.27303;4.553205;-2.818072;0.3716902;-2.865692;(-0.33, 1.63, 0.49);(2.87, 0.37, 0.52);
3.31103;4.552598;-2.817494;0.3706963;-2.866477;(-0.33, 1.63, 0.49);(2.87, 0.37, 0.52);
3.35566;4.551668;-2.818188;0.3679392;-2.868108;(-0.33, 1.63, 0.49);(2.87, 0.37, 0.52);
3.40233;4.548774;-2.81986;0.3690182;-2.868762;(-0.33, 1.63, 0.49);(2.87, 0.37, 0.52);
3.44225;4.549742;-2.820301;0.3690556;-2.872082;(-0.33, 1.63, 0.49);(2.87, 0.37, 0.52);
3.48486;4.54985;-2.823761;0.3683402;-2.874699;(-0.33, 1.63, 0.49);(2.87, 0.37, 0.52);
3.53013;4.549098;-2.826545;0.3668617;-2.87578;(-0.33, 1.63, 0.49);(2.88, 0.37, 0.52);
3.56763;4.547665;-2.827841;0.3661208;-2.875948;(-0.33, 1.63, 0.49);(2.88, 0.37, 0.52);
3.61238;4.547031;-2.828149;0.3624198;-2.874903;(-0.33, 1.63, 0.49);(2.87, 0.36, 0.52);
3.65472;4.543148;-2.827287;0.3632685;-2.873218;(-0.33, 1.63, 0.49);(2.87, 0.36, 0.51);
3.69884;4.54435;-2.825601;0.3582657;-2.872967;(-0.33, 1.63, 0.49);(2.87, 0.36, 0.51);
3.73892;4.539226;-2.82537;0.3570417;-2.873375;(-0.33, 1.63, 0.49);(2.87, 0.36, 0.51);
3.78662;4.537919;-2.825744;0.3580065;-2.874008;(-0.33, 1.63, 0.49);(2.87, 0.36, 0.51);
3.83163;4.538926;-2.826311;0.3583322;-2.874696;(-0.33, 1.63, 0.49);(2.87, 0.36, 0.52);
3.86916;4.539225;-2.826889;0.357215;-2.876004;(-0.33, 1.63, 0.49);(2.88, 0.36, 0.51);
3.91687;4.538235;-2.828247;0.3530719;-2.877256;(-0.33, 1.63, 0.49);(2.88, 0.35, 0.51);
3.96126;4.534038;-2.82954;0.352318;-2.879503;(-0.33, 1.63, 0.49);(2.88, 0.35, 0.51);
3.99732;4.53351;-2.831833;0.3494837;-2.880242;(-0.33, 1.63, 0.49);(2.88, 0.35, 0.52);
4.04011;4.530371;-2.832417;0.3503947;-2.881227;(-0.33, 1.63, 0.49);(2.88, 0.35, 0.52);
4.08603;4.53155;-2.833399;0.348761;-2.881568;(-0.33, 1.63, 0.49);(2.88, 0.35, 0.52);
4.14161;4.529498;-2.833555;0.3512526;-2.882193;(-0.33, 1.63, 0.49);(2.88, 0.35, 0.52);
4.20007;4.532242;-2.834249;0.3471597;-2.882113;(-0.33, 1.63, 0.49);(2.88, 0.35, 0.52);
4.24807;4.528052;-2.834415;0.3472759;-2.880327;(-0.33, 1.63, 0.49);(2.88, 0.35, 0.52);
4.29575;4.528253;-2.832591;0.345095;-2.879488;(-0.33, 1.63, 0.49);(2.88, 0.35, 0.52);
4.36952;4.526035;-2.831817;0.3456896;-2.878635;(-0.33, 1.63, 0.49);(2.88, 0.35, 0.52);
4.42207;4.526299;-2.830921;0.3468014;-2.877496;(-0.33, 1.63, 0.49);(2.88, 0.35, 0.51);
4.46941;4.527765;-2.829993;0.3429758;-2.877331;(-0.33, 1.63, 0.49);(2.88, 0.34, 0.51);
4.52940;4.5239;-2.830086;0.3413705;-2.875748;(-0.33, 1.63, 0.49);(2.88, 0.34, 0.51);
4.59177;4.522311;-2.828573;0.3411505;-2.874604;(-0.33, 1.63, 0.49);(2.87, 0.34, 0.51);
4.64583;4.522183;-2.827379;0.3403304;-2.874525;(-0.33, 1.63, 0.49);(2.87, 0.34, 0.51);
4.68429;4.521478;-2.827213;0.3393503;-2.874722;(-0.33, 1.63, 0.49);(2.87, 0.34, 0.51);
4.72836;4.520229;-2.827236;0.3407432;-2.875176;(-0.33, 1.63, 0.49);(2.88, 0.34, 0.51);
4.77324;4.521861;-2.827675;0.3378365;-2.875404;(-0.33, 1.63, 0.49);(2.88, 0.34, 0.51);
4.81081;4.518646;-2.827946;0.3393607;-2.874506;(-0.33, 1.63, 0.49);(2.87, 0.34, 0.51);
4.85580;4.520211;-2.827042;0.3386652;-2.874825;(-0.33, 1.63, 0.49);(2.87, 0.34, 0.51);
4.89829;4.519819;-2.827509;0.3351851;-2.874873;(-0.33, 1.63, 0.49);(2.87, 0.34, 0.51);
4.93458;4.516136;-2.827482;0.3365183;-2.875942;(-0.33, 1.63, 0.49);(2.88, 0.34, 0.51);
4.96383;4.517575;-2.828481;0.3346448;-2.87681;(-0.33, 1.63, 0.49);(2.88, 0.33, 0.51);
4.99406;4.515526;-2.829428;0.334994;-2.876313;(-0.33, 1.63, 0.49);(2.88, 0.33, 0.51);
5.03109;4.515984;-2.828966;0.3341096;-2.876419;(-0.33, 1.63, 0.49);(2.88, 0.33, 0.51);
5.09261;4.515054;-2.829063;0.3337867;-2.876888;(-0.33, 1.63, 0.49);(2.88, 0.33, 0.51);
5.12150;4.514828;-2.82954;0.3315018;-2.877992;(-0.33, 1.63, 0.49);(2.88, 0.33, 0.51);
5.14830;4.51247;-2.83077;0.3316052;-2.877846;(-0.33, 1.63, 0.49);(2.88, 0.33, 0.51);
5.17647;4.512711;-2.830615;0.3298931;-2.877705;(-0.33, 1.63, 0.49);(2.88, 0.33, 0.51);
5.21174;4.511003;-2.830447;0.3303939;-2.877336;(-0.33, 1.63, 0.49);(2.88, 0.33, 0.51);
5.25935;4.511472;-2.829898;0.3296745;-2.876861;(-0.33, 1.63, 0.49);(2.88, 0.33, 0.51);
5.30712;4.510709;-2.829253;0.3304465;-2.87847;(-0.33, 1.63, 0.49);(2.88, 0.33, 0.51);
