CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
40.30;totalGazeArea: 13.25;averageGazeArea1: 1.98;averageGazeArea3: 3.93;averageGazeArea5: 5.34;averageGazeArea10: 7.56;
1;(-3.7, 0.0, 6.1);11.06;0;
2;(-26.1, 0.0, 33.7);37.36;0;
